channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH7801,N079,Sadhguru,https://www.youtube.com/@Sadhguru,12000000,,,talking_head,en,IN,Yoga meditation inner transformation,2026-04-16,pending_verification
CH7802,N079,Eckhart Tolle,https://www.youtube.com/channel/UCj9fPezLH1HUh7mSo-tB1Mg,3000000,,,talking_head,en,CA,Present moment awareness teachings,2026-04-16,pending_verification
CH7803,N079,Tara Brach,https://www.youtube.com/@TaraBrach,400000,,,talking_head,en,US,Buddhist meditation and healing,2026-04-16,pending_verification
CH7804,N079,Jay Shetty,https://www.youtube.com/@JayShetty,5000000,,,talking_head,en,US,Wisdom mindfulness and purpose,2026-04-16,pending_verification
CH7805,N079,Mooji,https://www.youtube.com/@Mooji,800000,,,talking_head,en,UK,Non-dual awareness satsangs,2026-04-16,pending_verification
CH7806,N079,Michael Sealey,https://www.youtube.com/channel/UC9GoqHypa-SDrGPMyeBkjKw,2000000,,,talking_head,en,AU,Hypnosis and guided meditation,2026-04-16,pending_verification
CH7807,N079,The Honest Guys,https://www.youtube.com/@TheHonestGuys,2000000,,,talking_head,en,UK,Guided meditations relaxation,2026-04-16,pending_verification
CH7808,N079,Jason Stephenson,https://www.youtube.com/channel/UCqPYhcdFgrlUXiGmPRAej1w,2000000,,,talking_head,en,AU,Sleep meditation music,2026-04-16,pending_verification
CH7809,N079,Yongey Mingyur Rinpoche,https://www.youtube.com/@MingyurRinpoche,300000,,,talking_head,en,NP,Tibetan Buddhist meditation,2026-04-16,pending_verification
CH7810,N079,Aaron Doughty,https://www.youtube.com/channel/UC48MclMZIY_EaOQwatzCpvw,1000000,,,talking_head,en,US,Spiritual awakening and consciousness,2026-04-16,pending_verification
CH7811,N079,Teal Swan,https://www.youtube.com/channel/UC1KIUp4PNCyIwCPTq1hYzWQ,1000000,,,talking_head,en,US,Shadow work and spirituality,2026-04-16,pending_verification
CH7812,N079,AwakenWithJP,https://www.youtube.com/channel/UCwUizOU8pPWXdXNniXypQEQ,2000000,,,talking_head,en,US,Spiritual comedy and awareness,2026-04-16,pending_verification
