channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH7901,N080,Steve Ramsey Woodworking for Mere Mortals,https://www.youtube.com/channel/UCBB7sYb14uBtk8UqSQYc9-w,1890000,,,talking_head,en,US,Beginner-friendly woodworking,2026-04-16,pending_verification
CH7902,N080,The Wood Whisperer,https://www.youtube.com/channel/UCKp44bWWZIiOPShPN_ytShw,831000,,,talking_head,en,US,In-depth woodworking education,2026-04-16,pending_verification
CH7903,N080,Matthias Wandel,https://www.youtube.com/channel/UCckETVOT59aYw80B36aP9vw,1500000,,,talking_head,en,CA,Woodworking inventions and jigs,2026-04-16,pending_verification
CH7904,N080,April Wilkerson,https://www.youtube.com/channel/UC4v2tQ8GqP0RbmAzhp4IFkQ,1000000,,,talking_head,en,US,DIY woodworking and welding,2026-04-16,pending_verification
CH7905,N080,Make Something,https://www.youtube.com/channel/UCtaykeSsGhtn2o2BsPm-rsw,800000,,,talking_head,en,US,Creative woodworking projects,2026-04-16,pending_verification
CH7906,N080,Jimmy DiResta,https://www.youtube.com/channel/UCiEk4xHBbz0hZNIGrbYno8A,1500000,,,talking_head,en,US,Maker and woodworking projects,2026-04-16,pending_verification
CH7907,N080,Blacktail Studio,https://www.youtube.com/channel/UC6I0KzAD7uFTL1qzxyunkvA,1500000,,,talking_head,en,US,Epoxy and woodworking projects,2026-04-16,pending_verification
CH7908,N080,Rex Krueger,https://www.youtube.com/channel/UCj4SLNED1DiNPHComZTCbzw,500000,,,talking_head,en,US,Hand tool woodworking education,2026-04-16,pending_verification
CH7909,N080,Stumpy Nubs,https://www.youtube.com/channel/UCstwpLSByklww1YojZN-KiQ,400000,,,talking_head,en,US,Woodworking tips and tool reviews,2026-04-16,pending_verification
CH7910,N080,Laura Kampf,https://www.youtube.com/channel/UCRix1GJvSBNDpEFY561eSzw,800000,,,talking_head,en,DE,Maker and woodworking projects,2026-04-16,pending_verification
CH7911,N080,John Heisz I Build It,https://www.youtube.com/channel/UCjA8vRlL1c7BDixQRJ39-LQ,1180000,,,talking_head,en,CA,DIY tools and woodworking,2026-04-16,pending_verification
