channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH8001,N081,See Jane Drill,https://www.youtube.com/channel/UCraGaDLfWec67xl9FEPndtw,500000,,,talking_head,en,US,DIY home repair education,2026-04-16,pending_verification
CH8002,N081,This Old House,https://www.youtube.com/channel/UCUtWNBWbFL9We-cdXkiAuJA,2000000,,,talking_head,en,US,Home improvement and repair,2026-04-16,pending_verification
CH8003,N081,Home RenoVision DIY,https://www.youtube.com/channel/UCnorhjQR4zJkT7AVNhu395Q,2000000,,,talking_head,en,CA,Home renovation tutorials,2026-04-16,pending_verification
CH8004,N081,Matt Risinger,https://www.youtube.com/channel/UCFCTrfb1JUJjs3Im8OZDtBw,1000000,,,talking_head,en,US,Building science and construction,2026-04-16,pending_verification
CH8005,N081,Electrician U,https://www.youtube.com/channel/UCB3jUEyCLRbCw7QED0vnXYg,400000,,,talking_head,en,US,Electrician education and training,2026-04-16,pending_verification
CH8006,N081,The Expert Plumber Roger Wakefield,https://www.youtube.com/channel/UCGIMKh92vaL0_Yc0u4GYhHA,500000,,,talking_head,en,US,Expert plumbing education,2026-04-16,pending_verification
CH8007,N081,Steven Lavimoniere,https://www.youtube.com/channel/UC4mZGMmJ1kOaOG1oRACZDbQ,300000,,,talking_head,en,US,Plumbing tutorials and tips,2026-04-16,pending_verification
CH8008,N081,HouseImprovements,https://www.youtube.com/channel/UCpJ1vJPKqImom-NN2fkBS0A,500000,,,talking_head,en,CA,Home improvement tutorials,2026-04-16,pending_verification
CH8009,N081,Ron Hazelton,https://www.youtube.com/channel/UCT7uKjjnhi3eozGVrjKfTzQ,200000,,,talking_head,en,US,Home repair how-to videos,2026-04-16,pending_verification
CH8010,N081,Lowe's Home Improvement,https://www.youtube.com/channel/UCqd2hbtE2N9fb0D2nTrLT1w,500000,,,talking_head,en,US,DIY home improvement projects,2026-04-16,pending_verification
CH8011,N081,The Home Depot,https://www.youtube.com/channel/UCfB9yx0y0dUwQ0lpjH8R4gA,500000,,,talking_head,en,US,Home repair and improvement,2026-04-16,pending_verification
