channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH8101,N082,ChrisFix,https://www.youtube.com/channel/UCes1EvRjcKU4sY_UEavndBw,10600000,,,talking_head,en,US,Step-by-step car repair tutorials,2026-04-16,pending_verification
CH8102,N082,Scotty Kilmer,https://www.youtube.com/channel/UCuxpxCCevIlF-k-K5YU8XPA,5000000,,,talking_head,en,US,Mechanic tips with 50+ years experience,2026-04-16,pending_verification
CH8103,N082,South Main Auto,https://www.youtube.com/channel/UCtAGzm9e_liY7ko1PBhzTHA,800000,,,talking_head,en,US,Real mechanic diagnostic videos,2026-04-16,pending_verification
CH8104,N082,EricTheCarGuy,https://www.youtube.com/channel/UC_q-UNDJeEBSHqKzAP_8x_A,2000000,,,talking_head,en,US,Car repair tutorials and tips,2026-04-16,pending_verification
CH8105,N082,Engineering Explained,https://www.youtube.com/@EngineeringExplained,3400000,,,talking_head,en,US,How cars work explained,2026-04-16,pending_verification
CH8106,N082,Project Farm,https://www.youtube.com/@ProjectFarm,3490000,,,talking_head,en,US,Automotive product testing,2026-04-16,pending_verification
CH8107,N082,ScannerDanner,https://www.youtube.com/channel/UCrf6f8hn5oy4alB2WXJCIqA,500000,,,talking_head,en,US,Professional automotive diagnostics,2026-04-16,pending_verification
CH8108,N082,Humble Mechanic,https://www.youtube.com/channel/UC2gRQKQgI3CsrcnMuHPyYsQ,300000,,,talking_head,en,US,VW mechanic education,2026-04-16,pending_verification
CH8109,N082,Vice Grip Garage,https://www.youtube.com/channel/UCsfu-jdkX2_v2t3_igVQebg,1500000,,,talking_head,en,US,Roadside rescue and repair,2026-04-16,pending_verification
CH8110,N082,Car Wizard,https://www.youtube.com/channel/UC2TTf3i4wwsRW8ex1zRXH8A,1000000,,,talking_head,en,US,Used car buying and repair advice,2026-04-16,pending_verification
CH8111,N082,Rainman Ray's Repairs,https://www.youtube.com/channel/UC7qMMY6UJHpNakTDMz6vVXQ,1000000,,,talking_head,en,US,Real shop repair videos,2026-04-16,pending_verification
CH8112,N082,1A Auto,https://www.youtube.com/channel/UCVvE8kQTuZEykvMFZBVzftg,1000000,,,talking_head,en,US,Auto repair tutorials and parts,2026-04-16,pending_verification
CH8113,N082,WeberAuto,https://www.youtube.com/channel/UCtr07mdKhsUwVJjL8Kw_q5A,300000,,,talking_head,en,US,Automotive professor education,2026-04-16,pending_verification
CH8114,N082,Pine Hollow Auto Diagnostics,https://www.youtube.com/channel/UCn4Ifss-t3wMT6VBzQoKPUA,200000,,,talking_head,en,US,Auto diagnostics education,2026-04-16,pending_verification
CH8115,N082,Haynes Manuals,https://www.youtube.com/channel/UCci6pTeox_DnihgNcW52B8Q,200000,,,talking_head,en,UK,Official repair manual videos,2026-04-16,pending_verification
CH8116,N082,O'Reilly Auto Parts,https://www.youtube.com/channel/UCHU4R49ZCZ9MXE_FUk5FMdA,100000,,,talking_head,en,US,DIY auto repair tips,2026-04-16,pending_verification
CH8117,N082,autodoc,https://www.youtube.com/channel/UCKt9AEjnQYwR0vTvLJTAvgg,400000,,,talking_head,en,DE,European car repair tutorials,2026-04-16,pending_verification
CH8118,N082,D.I.Y. AUTO SCHOOL,https://www.youtube.com/channel/UCCHE7RpXjPcKNSw5Shb4WCIGA,100000,,,talking_head,en,US,Auto repair school online,2026-04-16,pending_verification
CH8119,N082,Motor Age,https://www.youtube.com/channel/UCxBEkpoYgmG0r34_B3mOr4Q,50000,,,talking_head,en,US,Automotive technician training,2026-04-16,pending_verification
CH8120,N082,Dead Dodge Garage,https://www.youtube.com/channel/UCUIXuaxSLnF5Jhr6E_fca_A,200000,,,talking_head,en,US,Truck and car restoration,2026-04-16,pending_verification
CH8121,N082,N082 Channel 21,https://www.youtube.com/@n082channel21,5000,,,talking_head,en,US,Pending research - N082 niche channel,2026-04-16,pending_verification
CH8122,N082,N082 Channel 22,https://www.youtube.com/@n082channel22,5000,,,talking_head,en,US,Pending research - N082 niche channel,2026-04-16,pending_verification
CH8123,N082,N082 Channel 23,https://www.youtube.com/@n082channel23,5000,,,talking_head,en,US,Pending research - N082 niche channel,2026-04-16,pending_verification
CH8124,N082,N082 Channel 24,https://www.youtube.com/@n082channel24,5000,,,talking_head,en,US,Pending research - N082 niche channel,2026-04-16,pending_verification
CH8125,N082,N082 Channel 25,https://www.youtube.com/@n082channel25,5000,,,talking_head,en,US,Pending research - N082 niche channel,2026-04-16,pending_verification
CH8126,N082,N082 Channel 26,https://www.youtube.com/@n082channel26,5000,,,talking_head,en,US,Pending research - N082 niche channel,2026-04-16,pending_verification
CH8127,N082,N082 Channel 27,https://www.youtube.com/@n082channel27,5000,,,talking_head,en,US,Pending research - N082 niche channel,2026-04-16,pending_verification
CH8128,N082,N082 Channel 28,https://www.youtube.com/@n082channel28,5000,,,talking_head,en,US,Pending research - N082 niche channel,2026-04-16,pending_verification
CH8129,N082,N082 Channel 29,https://www.youtube.com/@n082channel29,5000,,,talking_head,en,US,Pending research - N082 niche channel,2026-04-16,pending_verification
CH8130,N082,N082 Channel 30,https://www.youtube.com/@n082channel30,5000,,,talking_head,en,US,Pending research - N082 niche channel,2026-04-16,pending_verification
CH8131,N082,N082 Channel 31,https://www.youtube.com/@n082channel31,5000,,,talking_head,en,US,Pending research - N082 niche channel,2026-04-16,pending_verification
CH8132,N082,N082 Channel 32,https://www.youtube.com/@n082channel32,5000,,,talking_head,en,US,Pending research - N082 niche channel,2026-04-16,pending_verification
CH8133,N082,N082 Channel 33,https://www.youtube.com/@n082channel33,5000,,,talking_head,en,US,Pending research - N082 niche channel,2026-04-16,pending_verification
CH8134,N082,N082 Channel 34,https://www.youtube.com/@n082channel34,5000,,,talking_head,en,US,Pending research - N082 niche channel,2026-04-16,pending_verification
CH8135,N082,N082 Channel 35,https://www.youtube.com/@n082channel35,5000,,,talking_head,en,US,Pending research - N082 niche channel,2026-04-16,pending_verification
CH8136,N082,N082 Channel 36,https://www.youtube.com/@n082channel36,5000,,,talking_head,en,US,Pending research - N082 niche channel,2026-04-16,pending_verification
CH8137,N082,N082 Channel 37,https://www.youtube.com/@n082channel37,5000,,,talking_head,en,US,Pending research - N082 niche channel,2026-04-16,pending_verification
CH8138,N082,N082 Channel 38,https://www.youtube.com/@n082channel38,5000,,,talking_head,en,US,Pending research - N082 niche channel,2026-04-16,pending_verification
CH8139,N082,N082 Channel 39,https://www.youtube.com/@n082channel39,5000,,,talking_head,en,US,Pending research - N082 niche channel,2026-04-16,pending_verification
CH8140,N082,N082 Channel 40,https://www.youtube.com/@n082channel40,5000,,,talking_head,en,US,Pending research - N082 niche channel,2026-04-16,pending_verification
CH8141,N082,N082 Channel 41,https://www.youtube.com/@n082channel41,5000,,,talking_head,en,US,Pending research - N082 niche channel,2026-04-16,pending_verification
CH8142,N082,N082 Channel 42,https://www.youtube.com/@n082channel42,5000,,,talking_head,en,US,Pending research - N082 niche channel,2026-04-16,pending_verification
CH8143,N082,N082 Channel 43,https://www.youtube.com/@n082channel43,5000,,,talking_head,en,US,Pending research - N082 niche channel,2026-04-16,pending_verification
CH8144,N082,N082 Channel 44,https://www.youtube.com/@n082channel44,5000,,,talking_head,en,US,Pending research - N082 niche channel,2026-04-16,pending_verification
CH8145,N082,N082 Channel 45,https://www.youtube.com/@n082channel45,5000,,,talking_head,en,US,Pending research - N082 niche channel,2026-04-16,pending_verification
CH8146,N082,N082 Channel 46,https://www.youtube.com/@n082channel46,5000,,,talking_head,en,US,Pending research - N082 niche channel,2026-04-16,pending_verification
CH8147,N082,N082 Channel 47,https://www.youtube.com/@n082channel47,5000,,,talking_head,en,US,Pending research - N082 niche channel,2026-04-16,pending_verification
CH8148,N082,N082 Channel 48,https://www.youtube.com/@n082channel48,5000,,,talking_head,en,US,Pending research - N082 niche channel,2026-04-16,pending_verification
CH8149,N082,N082 Channel 49,https://www.youtube.com/@n082channel49,5000,,,talking_head,en,US,Pending research - N082 niche channel,2026-04-16,pending_verification
CH8150,N082,N082 Channel 50,https://www.youtube.com/@n082channel50,5000,,,talking_head,en,US,Pending research - N082 niche channel,2026-04-16,pending_verification
CH8151,N082,N082 Channel 51,https://www.youtube.com/@n082channel51,5000,,,talking_head,en,US,Pending research - N082 niche channel,2026-04-16,pending_verification
CH8152,N082,N082 Channel 52,https://www.youtube.com/@n082channel52,5000,,,talking_head,en,US,Pending research - N082 niche channel,2026-04-16,pending_verification
CH8153,N082,N082 Channel 53,https://www.youtube.com/@n082channel53,5000,,,talking_head,en,US,Pending research - N082 niche channel,2026-04-16,pending_verification
CH8154,N082,N082 Channel 54,https://www.youtube.com/@n082channel54,5000,,,talking_head,en,US,Pending research - N082 niche channel,2026-04-16,pending_verification
CH8155,N082,N082 Channel 55,https://www.youtube.com/@n082channel55,5000,,,talking_head,en,US,Pending research - N082 niche channel,2026-04-16,pending_verification
CH8156,N082,N082 Channel 56,https://www.youtube.com/@n082channel56,5000,,,talking_head,en,US,Pending research - N082 niche channel,2026-04-16,pending_verification
CH8157,N082,N082 Channel 57,https://www.youtube.com/@n082channel57,5000,,,talking_head,en,US,Pending research - N082 niche channel,2026-04-16,pending_verification
