channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH8201,N083,Epic Gardening,https://www.youtube.com/channel/UCSbyncU597LMwb3HhnAI_4w,3400000,,,talking_head,en,US,Grow guides and garden education,2026-04-16,pending_verification
CH8202,N083,MIgardener,https://www.youtube.com/channel/UCVGVbOl6F5rGF4wSYS6Y5yQ,1400000,,,talking_head,en,US,Organic gardening and sustainability,2026-04-16,pending_verification
CH8203,N083,Garden Answer,https://www.youtube.com/@GardenAnswer,2000000,,,talking_head,en,US,Garden tours and plant care,2026-04-16,pending_verification
CH8204,N083,Charles Dowding,https://www.youtube.com/channel/UCB1J6siDdmhwah7q0O2WJBg,1000000,,,talking_head,en,UK,No-dig gardening method,2026-04-16,pending_verification
CH8205,N083,Roots and Refuge Farm,https://www.youtube.com/@RootsandRefuge,600000,,,talking_head,en,US,Homesteading and gardening,2026-04-16,pending_verification
CH8206,N083,Justin Rhodes,https://www.youtube.com/@JustinRhodes,1100000,,,talking_head,en,US,Permaculture and homesteading,2026-04-16,pending_verification
CH8207,N083,Homesteading Family,https://www.youtube.com/channel/UCu99W5TTPAucVN83TYQtCqQ,800000,,,talking_head,en,US,Practical homestead knowledge,2026-04-16,pending_verification
CH8208,N083,Growing Your Greens,https://www.youtube.com/channel/UCUnFheTbVpASikm0YPb8pSw,949000,,,talking_head,en,US,Most watched gardening show,2026-04-16,pending_verification
CH8209,N083,Gary Pilarchik The Rusted Garden,https://www.youtube.com/channel/UCptL6_qMImyW_yZwiMjQdpg,500000,,,talking_head,en,US,Vegetable gardening education,2026-04-16,pending_verification
CH8210,N083,James Prigioni,https://www.youtube.com/channel/UC9V_-gqJsZNOy4v_HqbRz3w,500000,,,talking_head,en,US,The Gardening Channel food forest,2026-04-16,pending_verification
CH8211,N083,CaliKim29,https://www.youtube.com/channel/UCARXOI1UlItgIevoI5jZViQ,400000,,,talking_head,en,US,California garden and home DIY,2026-04-16,pending_verification
CH8212,N083,California Gardening,https://www.youtube.com/channel/UCfJl4Yf0MrI2RIkqnoHe8rA,300000,,,talking_head,en,US,California vegetable gardening,2026-04-16,pending_verification
CH8213,N083,Kelly Lehman,https://www.youtube.com/channel/UCMH7q06GpLzh3IBP6f9Qw9g,300000,,,talking_head,en,US,Garden homestead education,2026-04-16,pending_verification
