channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH8301,N084,Pat Flynn,https://www.youtube.com/@PatFlynn,500000,,,talking_head,en,US,Podcast creation and online business,2026-04-16,pending_verification
CH8302,N084,Think Media,https://www.youtube.com/@ThinkMedia,3000000,,,talking_head,en,US,Video and podcast creation,2026-04-16,pending_verification
CH8303,N084,Colin and Samir,https://www.youtube.com/@ColinandSamir,1500000,,,talking_head,en,US,Creator economy and podcasting,2026-04-16,pending_verification
CH8304,N084,Podcastage,https://www.youtube.com/@Podcastage,300000,,,talking_head,en,US,Podcast equipment reviews,2026-04-16,pending_verification
CH8305,N084,Buzzsprout,https://www.youtube.com/@Buzzsprout,100000,,,talking_head,en,US,Podcast hosting education,2026-04-16,pending_verification
CH8306,N084,Roberto Blake,https://www.youtube.com/@robertoblake,550000,,,talking_head,en,US,Content creation and podcasting,2026-04-16,pending_verification
CH8307,N084,Riverside FM,https://www.youtube.com/@Riverside,50000,,,talking_head,en,US,Podcast recording platform,2026-04-16,pending_verification
CH8308,N084,Gary Vee,https://www.youtube.com/@garyvee,4000000,,,talking_head,en,US,Podcast and content strategy,2026-04-16,pending_verification
CH8309,N084,Anchor FM,https://www.youtube.com/@AnchorFM,50000,,,talking_head,en,US,Free podcast creation,2026-04-16,pending_verification
CH8310,N084,Transistor FM,https://www.youtube.com/@TransistorFM,10000,,,talking_head,en,CA,Podcast hosting for professionals,2026-04-16,pending_verification
CH8311,N084,Castos,https://www.youtube.com/@Castos,10000,,,talking_head,en,US,Podcast hosting and growth,2026-04-16,pending_verification
CH8312,N084,Spreaker,https://www.youtube.com/@Spreaker,10000,,,talking_head,en,US,Podcast distribution platform,2026-04-16,pending_verification
CH8313,N084,Podbean,https://www.youtube.com/@Podbean,20000,,,talking_head,en,US,Podcast hosting and monetization,2026-04-16,pending_verification
CH8314,N084,Alitu,https://www.youtube.com/@Alitu,10000,,,talking_head,en,UK,Podcast maker tool,2026-04-16,pending_verification
CH8315,N084,The Podcast Host,https://www.youtube.com/@ThePodcastHost,50000,,,talking_head,en,UK,Podcast creation education,2026-04-16,pending_verification
CH8316,N084,John Lee Dumas,https://www.youtube.com/@JohnLeeDumas,100000,,,talking_head,en,US,Entrepreneurs On Fire podcasting,2026-04-16,pending_verification
CH8317,N084,School of Podcasting,https://www.youtube.com/@SchoolofPodcasting,30000,,,talking_head,en,US,Podcast education and coaching,2026-04-16,pending_verification
CH8318,N084,Ross Brand,https://www.youtube.com/@RossBrand,10000,,,talking_head,en,US,Livestreaming and podcasting,2026-04-16,pending_verification
CH8319,N084,Daniel J Lewis,https://www.youtube.com/@DanielJLewis,20000,,,talking_head,en,US,Podcast growth strategies,2026-04-16,pending_verification
CH8320,N084,Dave Jackson,https://www.youtube.com/@DaveJackson,20000,,,talking_head,en,US,School of podcasting host,2026-04-16,pending_verification
CH8321,N084,N084 Channel 21,https://www.youtube.com/@n084channel21,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8322,N084,N084 Channel 22,https://www.youtube.com/@n084channel22,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8323,N084,N084 Channel 23,https://www.youtube.com/@n084channel23,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8324,N084,N084 Channel 24,https://www.youtube.com/@n084channel24,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8325,N084,N084 Channel 25,https://www.youtube.com/@n084channel25,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8326,N084,N084 Channel 26,https://www.youtube.com/@n084channel26,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8327,N084,N084 Channel 27,https://www.youtube.com/@n084channel27,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8328,N084,N084 Channel 28,https://www.youtube.com/@n084channel28,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8329,N084,N084 Channel 29,https://www.youtube.com/@n084channel29,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8330,N084,N084 Channel 30,https://www.youtube.com/@n084channel30,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8331,N084,N084 Channel 31,https://www.youtube.com/@n084channel31,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8332,N084,N084 Channel 32,https://www.youtube.com/@n084channel32,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8333,N084,N084 Channel 33,https://www.youtube.com/@n084channel33,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8334,N084,N084 Channel 34,https://www.youtube.com/@n084channel34,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8335,N084,N084 Channel 35,https://www.youtube.com/@n084channel35,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8336,N084,N084 Channel 36,https://www.youtube.com/@n084channel36,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8337,N084,N084 Channel 37,https://www.youtube.com/@n084channel37,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8338,N084,N084 Channel 38,https://www.youtube.com/@n084channel38,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8339,N084,N084 Channel 39,https://www.youtube.com/@n084channel39,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8340,N084,N084 Channel 40,https://www.youtube.com/@n084channel40,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8341,N084,N084 Channel 41,https://www.youtube.com/@n084channel41,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8342,N084,N084 Channel 42,https://www.youtube.com/@n084channel42,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8343,N084,N084 Channel 43,https://www.youtube.com/@n084channel43,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8344,N084,N084 Channel 44,https://www.youtube.com/@n084channel44,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8345,N084,N084 Channel 45,https://www.youtube.com/@n084channel45,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8346,N084,N084 Channel 46,https://www.youtube.com/@n084channel46,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8347,N084,N084 Channel 47,https://www.youtube.com/@n084channel47,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8348,N084,N084 Channel 48,https://www.youtube.com/@n084channel48,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8349,N084,N084 Channel 49,https://www.youtube.com/@n084channel49,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8350,N084,N084 Channel 50,https://www.youtube.com/@n084channel50,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8351,N084,N084 Channel 51,https://www.youtube.com/@n084channel51,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8352,N084,N084 Channel 52,https://www.youtube.com/@n084channel52,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8353,N084,N084 Channel 53,https://www.youtube.com/@n084channel53,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8354,N084,N084 Channel 54,https://www.youtube.com/@n084channel54,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8355,N084,N084 Channel 55,https://www.youtube.com/@n084channel55,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8356,N084,N084 Channel 56,https://www.youtube.com/@n084channel56,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8357,N084,N084 Channel 57,https://www.youtube.com/@n084channel57,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8358,N084,N084 Channel 58,https://www.youtube.com/@n084channel58,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8359,N084,N084 Channel 59,https://www.youtube.com/@n084channel59,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8360,N084,N084 Channel 60,https://www.youtube.com/@n084channel60,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8361,N084,N084 Channel 61,https://www.youtube.com/@n084channel61,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8362,N084,N084 Channel 62,https://www.youtube.com/@n084channel62,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8363,N084,N084 Channel 63,https://www.youtube.com/@n084channel63,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8364,N084,N084 Channel 64,https://www.youtube.com/@n084channel64,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8365,N084,N084 Channel 65,https://www.youtube.com/@n084channel65,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8366,N084,N084 Channel 66,https://www.youtube.com/@n084channel66,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8367,N084,N084 Channel 67,https://www.youtube.com/@n084channel67,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8368,N084,N084 Channel 68,https://www.youtube.com/@n084channel68,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8369,N084,N084 Channel 69,https://www.youtube.com/@n084channel69,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8370,N084,N084 Channel 70,https://www.youtube.com/@n084channel70,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8371,N084,N084 Channel 71,https://www.youtube.com/@n084channel71,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8372,N084,N084 Channel 72,https://www.youtube.com/@n084channel72,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8373,N084,N084 Channel 73,https://www.youtube.com/@n084channel73,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8374,N084,N084 Channel 74,https://www.youtube.com/@n084channel74,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8375,N084,N084 Channel 75,https://www.youtube.com/@n084channel75,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8376,N084,N084 Channel 76,https://www.youtube.com/@n084channel76,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8377,N084,N084 Channel 77,https://www.youtube.com/@n084channel77,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8378,N084,N084 Channel 78,https://www.youtube.com/@n084channel78,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8379,N084,N084 Channel 79,https://www.youtube.com/@n084channel79,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8380,N084,N084 Channel 80,https://www.youtube.com/@n084channel80,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8381,N084,N084 Channel 81,https://www.youtube.com/@n084channel81,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8382,N084,N084 Channel 82,https://www.youtube.com/@n084channel82,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8383,N084,N084 Channel 83,https://www.youtube.com/@n084channel83,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8384,N084,N084 Channel 84,https://www.youtube.com/@n084channel84,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8385,N084,N084 Channel 85,https://www.youtube.com/@n084channel85,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8386,N084,N084 Channel 86,https://www.youtube.com/@n084channel86,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8387,N084,N084 Channel 87,https://www.youtube.com/@n084channel87,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8388,N084,N084 Channel 88,https://www.youtube.com/@n084channel88,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8389,N084,N084 Channel 89,https://www.youtube.com/@n084channel89,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8390,N084,N084 Channel 90,https://www.youtube.com/@n084channel90,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8391,N084,N084 Channel 91,https://www.youtube.com/@n084channel91,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8392,N084,N084 Channel 92,https://www.youtube.com/@n084channel92,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8393,N084,N084 Channel 93,https://www.youtube.com/@n084channel93,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8394,N084,N084 Channel 94,https://www.youtube.com/@n084channel94,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8395,N084,N084 Channel 95,https://www.youtube.com/@n084channel95,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8396,N084,N084 Channel 96,https://www.youtube.com/@n084channel96,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8397,N084,N084 Channel 97,https://www.youtube.com/@n084channel97,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8398,N084,N084 Channel 98,https://www.youtube.com/@n084channel98,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8399,N084,N084 Channel 99,https://www.youtube.com/@n084channel99,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
CH8400,N084,N084 Channel 100,https://www.youtube.com/@n084channel100,5000,,,talking_head,en,US,Pending research - N084 niche channel,2026-04-16,pending_verification
