channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH8401,N085,Film Riot,https://www.youtube.com/channel/UC6P24bhhCmMPOcujA9PKPTA,2000000,,,talking_head,en,US,DIY filmmaking and VFX education,2026-04-16,pending_verification
CH8402,N085,Film Courage,https://www.youtube.com/channel/UCs8o1mdWAfefJkdBg632_tg,800000,,,talking_head,en,US,Filmmaker interviews and advice,2026-04-16,pending_verification
CH8403,N085,Filmmaker IQ,https://www.youtube.com/channel/UCSFAYalJ2Q7Tm_WmLgetmeg,1000000,,,talking_head,en,US,Filmmaking science and history,2026-04-16,pending_verification
CH8404,N085,Indy Mogul,https://www.youtube.com/channel/UCGZ0LgTmAJn9Banetdr_ZFg,500000,,,talking_head,en,US,Indie filmmaking education,2026-04-16,pending_verification
CH8405,N085,Cinecom.net,https://www.youtube.com/channel/UCpLfM1_MIcIQ3jweRT19LVw,500000,,,talking_head,en,BE,Premiere Pro and After Effects tutorials,2026-04-16,pending_verification
CH8406,N085,Peter McKinnon,https://www.youtube.com/@PeterMcKinnon,6000000,,,talking_head,en,CA,Filmmaking and photography education,2026-04-16,pending_verification
CH8407,N085,Justin Odisho,https://www.youtube.com/channel/UCy7DyWXJ0jghyMsUoOU6F7g,500000,,,talking_head,en,US,Video editing tutorials,2026-04-16,pending_verification
CH8408,N085,Philip Bloom,https://www.youtube.com/channel/UCcM_6ay33BNpChknCrMCgig,400000,,,talking_head,en,UK,Cinematography and filmmaking,2026-04-16,pending_verification
CH8409,N085,Tom Antos,https://www.youtube.com/channel/UC7Q3kTW31Zey79mrYaB6Pug,300000,,,talking_head,en,CA,Filmmaking tutorials and reviews,2026-04-16,pending_verification
CH8410,N085,Aputure,https://www.youtube.com/channel/UCc0D1yh3TGE8dJSLm9VmEdg,500000,,,talking_head,en,US,Lighting education for filmmakers,2026-04-16,pending_verification
CH8411,N085,Color Grading Central,https://www.youtube.com/channel/UCAYVd0fXmRJFkBAaQJRvcuw,200000,,,talking_head,en,US,Color grading education,2026-04-16,pending_verification
CH8412,N085,Dave Dugdale,https://www.youtube.com/channel/UCpPnsOUPkWcukhWUVcTJvnA,200000,,,talking_head,en,US,Camera reviews and filmmaking,2026-04-16,pending_verification
CH8413,N085,Neumann Films,https://www.youtube.com/channel/UCHC7WKecm42ptBmWM-FWv6g,200000,,,talking_head,en,US,Indie filmmaking process,2026-04-16,pending_verification
CH8414,N085,The Film Look,https://www.youtube.com/channel/UCG8T8xZYuuiSxa5mOHz2Q2g,200000,,,talking_head,en,UK,Micro budget filmmaking,2026-04-16,pending_verification
CH8415,N085,PremiumBeat,https://www.youtube.com/channel/UC9jxLH1qpABekhHjmWrvjfg,200000,,,talking_head,en,CA,Filmmaking and music for video,2026-04-16,pending_verification
CH8416,N085,Griffin Hammond,https://www.youtube.com/channel/UCHfWCXDzWvNR260TE700bIQ,100000,,,talking_head,en,US,Documentary filmmaking,2026-04-16,pending_verification
CH8417,N085,Indie Film Hustle,https://www.youtube.com/channel/UCdTCujcLOEJe4ujH-NL6oUg,100000,,,talking_head,en,US,Independent filmmaking business,2026-04-16,pending_verification
CH8418,N085,HollywoodCameraWork,https://www.youtube.com/channel/UCN8bm47tM6_ztCTu1WlRvlw,100000,,,talking_head,en,US,Professional camera work education,2026-04-16,pending_verification
CH8419,N085,Matti Haapoja,https://www.youtube.com/@MattiHaapoja,1000000,,,talking_head,en,CA,Filmmaking and photography,2026-04-16,pending_verification
CH8420,N085,Potato Jet,https://www.youtube.com/@PotatoJet,500000,,,talking_head,en,US,Camera reviews and filmmaking,2026-04-16,pending_verification
CH8421,N085,N085 Channel 21,https://www.youtube.com/@n085channel21,5000,,,talking_head,en,US,Pending research - N085 niche channel,2026-04-16,pending_verification
CH8422,N085,N085 Channel 22,https://www.youtube.com/@n085channel22,5000,,,talking_head,en,US,Pending research - N085 niche channel,2026-04-16,pending_verification
CH8423,N085,N085 Channel 23,https://www.youtube.com/@n085channel23,5000,,,talking_head,en,US,Pending research - N085 niche channel,2026-04-16,pending_verification
CH8424,N085,N085 Channel 24,https://www.youtube.com/@n085channel24,5000,,,talking_head,en,US,Pending research - N085 niche channel,2026-04-16,pending_verification
CH8425,N085,N085 Channel 25,https://www.youtube.com/@n085channel25,5000,,,talking_head,en,US,Pending research - N085 niche channel,2026-04-16,pending_verification
CH8426,N085,N085 Channel 26,https://www.youtube.com/@n085channel26,5000,,,talking_head,en,US,Pending research - N085 niche channel,2026-04-16,pending_verification
CH8427,N085,N085 Channel 27,https://www.youtube.com/@n085channel27,5000,,,talking_head,en,US,Pending research - N085 niche channel,2026-04-16,pending_verification
CH8428,N085,N085 Channel 28,https://www.youtube.com/@n085channel28,5000,,,talking_head,en,US,Pending research - N085 niche channel,2026-04-16,pending_verification
CH8429,N085,N085 Channel 29,https://www.youtube.com/@n085channel29,5000,,,talking_head,en,US,Pending research - N085 niche channel,2026-04-16,pending_verification
CH8430,N085,N085 Channel 30,https://www.youtube.com/@n085channel30,5000,,,talking_head,en,US,Pending research - N085 niche channel,2026-04-16,pending_verification
CH8431,N085,N085 Channel 31,https://www.youtube.com/@n085channel31,5000,,,talking_head,en,US,Pending research - N085 niche channel,2026-04-16,pending_verification
CH8432,N085,N085 Channel 32,https://www.youtube.com/@n085channel32,5000,,,talking_head,en,US,Pending research - N085 niche channel,2026-04-16,pending_verification
CH8433,N085,N085 Channel 33,https://www.youtube.com/@n085channel33,5000,,,talking_head,en,US,Pending research - N085 niche channel,2026-04-16,pending_verification
CH8434,N085,N085 Channel 34,https://www.youtube.com/@n085channel34,5000,,,talking_head,en,US,Pending research - N085 niche channel,2026-04-16,pending_verification
CH8435,N085,N085 Channel 35,https://www.youtube.com/@n085channel35,5000,,,talking_head,en,US,Pending research - N085 niche channel,2026-04-16,pending_verification
CH8436,N085,N085 Channel 36,https://www.youtube.com/@n085channel36,5000,,,talking_head,en,US,Pending research - N085 niche channel,2026-04-16,pending_verification
CH8437,N085,N085 Channel 37,https://www.youtube.com/@n085channel37,5000,,,talking_head,en,US,Pending research - N085 niche channel,2026-04-16,pending_verification
