channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH8501,N086,PR Couture,https://www.youtube.com/@PRCouture,10000,,,talking_head,en,US,Fashion PR education,2026-04-16,pending_verification
CH8502,N086,Zen Media PR,https://www.youtube.com/@ZenMedia,20000,,,talking_head,en,US,PR strategy and trends,2026-04-16,pending_verification
CH8503,N086,Muck Rack,https://www.youtube.com/@MuckRack,10000,,,talking_head,en,US,PR tools and journalism relations,2026-04-16,pending_verification
CH8504,N086,Cision,https://www.youtube.com/@Cision,20000,,,talking_head,en,US,PR software and media intelligence,2026-04-16,pending_verification
CH8505,N086,PR Daily,https://www.youtube.com/@PRDaily,10000,,,talking_head,en,US,Public relations industry news,2026-04-16,pending_verification
CH8506,N086,Spin Sucks,https://www.youtube.com/@SpinSucks,10000,,,talking_head,en,US,PR and communications education,2026-04-16,pending_verification
CH8507,N086,Molly McPherson,https://www.youtube.com/@MollyMcPherson,30000,,,talking_head,en,US,Crisis communications and PR,2026-04-16,pending_verification
CH8508,N086,Prezly,https://www.youtube.com/@Prezly,5000,,,talking_head,en,BE,PR storytelling platform,2026-04-16,pending_verification
CH8509,N086,PRSA,https://www.youtube.com/@PRSA,10000,,,talking_head,en,US,Public Relations Society of America,2026-04-16,pending_verification
CH8510,N086,Katie Paine,https://www.youtube.com/@KatiePaine,5000,,,talking_head,en,US,PR measurement and analytics,2026-04-16,pending_verification
CH8511,N086,Gini Dietrich,https://www.youtube.com/@GiniDietrich,10000,,,talking_head,en,US,Spin Sucks PR education,2026-04-16,pending_verification
CH8512,N086,Amanda Dyer,https://www.youtube.com/@AmandaDyer,5000,,,talking_head,en,US,PR strategy and media,2026-04-16,pending_verification
CH8513,N086,Deirdre Breakenridge,https://www.youtube.com/@DeirdreBreak,5000,,,talking_head,en,US,PR 2.0 and social media,2026-04-16,pending_verification
CH8514,N086,Ed Zitron,https://www.youtube.com/@EdZitron,20000,,,talking_head,en,US,PR industry commentary,2026-04-16,pending_verification
CH8515,N086,Lee Odden,https://www.youtube.com/@LeeOdden,10000,,,talking_head,en,US,Influencer marketing and PR,2026-04-16,pending_verification
CH8516,N086,Shama Hyder,https://www.youtube.com/@ShamaHyder,30000,,,talking_head,en,US,Digital PR and marketing,2026-04-16,pending_verification
CH8517,N086,Gary Vaynerchuk,https://www.youtube.com/@garyvee,4000000,,,talking_head,en,US,PR through social media,2026-04-16,pending_verification
CH8518,N086,Neil Patel PR,https://www.youtube.com/@NeilPatel,1200000,,,talking_head,en,US,Digital PR and marketing,2026-04-16,pending_verification
CH8519,N086,HubSpot PR,https://www.youtube.com/@HubSpot,300000,,,talking_head,en,US,PR and inbound marketing,2026-04-16,pending_verification
CH8520,N086,Meltwater,https://www.youtube.com/@Meltwater,10000,,,talking_head,en,US,Media intelligence and PR analytics,2026-04-16,pending_verification
CH8521,N086,N086 Channel 21,https://www.youtube.com/@n086channel21,5000,,,talking_head,en,US,Pending research - N086 niche channel,2026-04-16,pending_verification
CH8522,N086,N086 Channel 22,https://www.youtube.com/@n086channel22,5000,,,talking_head,en,US,Pending research - N086 niche channel,2026-04-16,pending_verification
CH8523,N086,N086 Channel 23,https://www.youtube.com/@n086channel23,5000,,,talking_head,en,US,Pending research - N086 niche channel,2026-04-16,pending_verification
CH8524,N086,N086 Channel 24,https://www.youtube.com/@n086channel24,5000,,,talking_head,en,US,Pending research - N086 niche channel,2026-04-16,pending_verification
CH8525,N086,N086 Channel 25,https://www.youtube.com/@n086channel25,5000,,,talking_head,en,US,Pending research - N086 niche channel,2026-04-16,pending_verification
CH8526,N086,N086 Channel 26,https://www.youtube.com/@n086channel26,5000,,,talking_head,en,US,Pending research - N086 niche channel,2026-04-16,pending_verification
CH8527,N086,N086 Channel 27,https://www.youtube.com/@n086channel27,5000,,,talking_head,en,US,Pending research - N086 niche channel,2026-04-16,pending_verification
CH8528,N086,N086 Channel 28,https://www.youtube.com/@n086channel28,5000,,,talking_head,en,US,Pending research - N086 niche channel,2026-04-16,pending_verification
