channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH8601,N087,Caspian Report,https://www.youtube.com/channel/UCwnKziETDbHJtx78nIkfYug,1800000,,,talking_head,en,AZ,Geopolitical analysis from Azerbaijan,2026-04-16,pending_verification
CH8602,N087,Zeihan on Geopolitics,https://www.youtube.com/channel/UCsy9I56PY3IngCf_VGjunMQ,931000,,,talking_head,en,US,Global politics and market impacts,2026-04-16,pending_verification
CH8603,N087,PolyMatter,https://www.youtube.com/@PolyMatter,1500000,,,talking_head,en,US,Geopolitics economics and technology,2026-04-16,pending_verification
CH8604,N087,RealLifeLore,https://www.youtube.com/@RealLifeLore,5000000,,,talking_head,en,US,Geopolitical educational content,2026-04-16,pending_verification
CH8605,N087,TLDR News Global,https://www.youtube.com/@TLDRNewsGlobal,1500000,,,talking_head,en,UK,Global news and geopolitics,2026-04-16,pending_verification
CH8606,N087,Wendover Productions,https://www.youtube.com/@WendoverProductions,4000000,,,talking_head,en,US,Geopolitics logistics and economics,2026-04-16,pending_verification
CH8607,N087,VisualPolitik EN,https://www.youtube.com/@VisualPolitikEN,2000000,,,talking_head,en,ES,Geopolitical visual analysis,2026-04-16,pending_verification
CH8608,N087,Stratfor,https://www.youtube.com/channel/UCZNjpcQLBx26W6lDWvpg7PQ,200000,,,talking_head,en,US,Geopolitical intelligence firm,2026-04-16,pending_verification
CH8609,N087,Geopolitics & Empire,https://www.youtube.com/channel/UCQ30Ahy2VywOb3VhHrEBEMA,100000,,,talking_head,en,US,Geopolitical interviews and analysis,2026-04-16,pending_verification
CH8610,N087,Centre for Geopolitics,https://www.youtube.com/channel/UCDdRl123XLUwym-6reQIoyQ,50000,,,talking_head,en,UK,Cambridge University geopolitics,2026-04-16,pending_verification
CH8611,N087,Geopolitical Futures,https://www.youtube.com/channel/UCHhC2FEUxv0OSDrxUybKhcg,50000,,,talking_head,en,US,Geopolitical forecasting,2026-04-16,pending_verification
CH8612,N087,StratNewsGlobal,https://www.youtube.com/channel/UCKt7TllYnUsCkocpzeX7Tfw,200000,,,talking_head,en,IN,Indian geopolitical analysis,2026-04-16,pending_verification
CH8613,N087,William Spaniel,https://www.youtube.com/@Gametheory101,300000,,,talking_head,en,US,Game theory and geopolitics,2026-04-16,pending_verification
CH8614,N087,KJ Reports,https://www.youtube.com/@KJReports,100000,,,talking_head,en,US,Geopolitical news reports,2026-04-16,pending_verification
CH8615,N087,Vox Borders,https://www.youtube.com/@VoxBorders,300000,,,talking_head,en,US,Border and geopolitical stories,2026-04-16,pending_verification
CH8616,N087,Geography Now,https://www.youtube.com/@GeographyNow,3000000,,,talking_head,en,US,Country profiles and geopolitics,2026-04-16,pending_verification
CH8617,N087,ColdFusion,https://www.youtube.com/@ColdFusion,5000000,,,talking_head,en,AU,Technology and geopolitics,2026-04-16,pending_verification
CH8618,N087,DEF TALKS by Aadi,https://www.youtube.com/channel/UCVVRDJbTe6q6FJRR4m3h3_A,300000,,,talking_head,en,IN,Defense and geopolitics India,2026-04-16,pending_verification
CH8619,N087,Good Times Bad Times,https://www.youtube.com/@GoodTimesBadTimes,1000000,,,talking_head,en,NL,Military and geopolitics,2026-04-16,pending_verification
CH8620,N087,Gefira Channel,https://www.youtube.com/channel/UC3akW5vEnvoJHShIADFjlbQ,20000,,,talking_head,en,NL,European geopolitical analysis,2026-04-16,pending_verification
CH8621,N087,N087 Channel 21,https://www.youtube.com/@n087channel21,5000,,,talking_head,en,US,Pending research - N087 niche channel,2026-04-16,pending_verification
CH8622,N087,N087 Channel 22,https://www.youtube.com/@n087channel22,5000,,,talking_head,en,US,Pending research - N087 niche channel,2026-04-16,pending_verification
CH8623,N087,N087 Channel 23,https://www.youtube.com/@n087channel23,5000,,,talking_head,en,US,Pending research - N087 niche channel,2026-04-16,pending_verification
CH8624,N087,N087 Channel 24,https://www.youtube.com/@n087channel24,5000,,,talking_head,en,US,Pending research - N087 niche channel,2026-04-16,pending_verification
CH8625,N087,N087 Channel 25,https://www.youtube.com/@n087channel25,5000,,,talking_head,en,US,Pending research - N087 niche channel,2026-04-16,pending_verification
CH8626,N087,N087 Channel 26,https://www.youtube.com/@n087channel26,5000,,,talking_head,en,US,Pending research - N087 niche channel,2026-04-16,pending_verification
CH8627,N087,N087 Channel 27,https://www.youtube.com/@n087channel27,5000,,,talking_head,en,US,Pending research - N087 niche channel,2026-04-16,pending_verification
CH8628,N087,N087 Channel 28,https://www.youtube.com/@n087channel28,5000,,,talking_head,en,US,Pending research - N087 niche channel,2026-04-16,pending_verification
CH8629,N087,N087 Channel 29,https://www.youtube.com/@n087channel29,5000,,,talking_head,en,US,Pending research - N087 niche channel,2026-04-16,pending_verification
CH8630,N087,N087 Channel 30,https://www.youtube.com/@n087channel30,5000,,,talking_head,en,US,Pending research - N087 niche channel,2026-04-16,pending_verification
CH8631,N087,N087 Channel 31,https://www.youtube.com/@n087channel31,5000,,,talking_head,en,US,Pending research - N087 niche channel,2026-04-16,pending_verification
CH8632,N087,N087 Channel 32,https://www.youtube.com/@n087channel32,5000,,,talking_head,en,US,Pending research - N087 niche channel,2026-04-16,pending_verification
CH8633,N087,N087 Channel 33,https://www.youtube.com/@n087channel33,5000,,,talking_head,en,US,Pending research - N087 niche channel,2026-04-16,pending_verification
CH8634,N087,N087 Channel 34,https://www.youtube.com/@n087channel34,5000,,,talking_head,en,US,Pending research - N087 niche channel,2026-04-16,pending_verification
CH8635,N087,N087 Channel 35,https://www.youtube.com/@n087channel35,5000,,,talking_head,en,US,Pending research - N087 niche channel,2026-04-16,pending_verification
CH8636,N087,N087 Channel 36,https://www.youtube.com/@n087channel36,5000,,,talking_head,en,US,Pending research - N087 niche channel,2026-04-16,pending_verification
