channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH8701,N088,DW News,https://www.youtube.com/@DWNews,5000000,,,talking_head,en,DE,German international news analysis,2026-04-16,pending_verification
CH8702,N088,WION,https://www.youtube.com/@WION,10000000,,,talking_head,en,IN,World is One News global,2026-04-16,pending_verification
CH8703,N088,Al Jazeera English,https://www.youtube.com/@AlJazeeraEnglish,12000000,,,talking_head,en,QA,International news analysis,2026-04-16,pending_verification
CH8704,N088,VICE News,https://www.youtube.com/@VICENews,8000000,,,talking_head,en,US,Investigative news documentary,2026-04-16,pending_verification
CH8705,N088,The Young Turks,https://www.youtube.com/@TheYoungTurks,5000000,,,talking_head,en,US,Progressive news commentary,2026-04-16,pending_verification
CH8706,N088,David Pakman Show,https://www.youtube.com/@DavidPakmanShow,2000000,,,talking_head,en,US,Political news analysis,2026-04-16,pending_verification
CH8707,N088,Brian Tyler Cohen,https://www.youtube.com/@BrianTylerCohen,2000000,,,talking_head,en,US,Progressive political commentary,2026-04-16,pending_verification
CH8708,N088,BBC News,https://www.youtube.com/@BBCNews,15000000,,,talking_head,en,UK,British global news analysis,2026-04-16,pending_verification
CH8709,N088,Reuters,https://www.youtube.com/@Reuters,5000000,,,talking_head,en,UK,Factual impartial news reporting,2026-04-16,pending_verification
CH8710,N088,Bloomberg,https://www.youtube.com/@Bloomberg,5000000,,,talking_head,en,US,Business and economic news,2026-04-16,pending_verification
CH8711,N088,Channel 4 News,https://www.youtube.com/@Channel4News,2000000,,,talking_head,en,UK,UK news in-depth analysis,2026-04-16,pending_verification
CH8712,N088,Guardian News,https://www.youtube.com/@GuardianNews,2000000,,,talking_head,en,UK,Guardian newspaper video news,2026-04-16,pending_verification
CH8713,N088,FRANCE 24 English,https://www.youtube.com/@France24English,5000000,,,talking_head,en,FR,French international news,2026-04-16,pending_verification
CH8714,N088,NowThis,https://www.youtube.com/@NowThisImpact,3000000,,,talking_head,en,US,Social impact news,2026-04-16,pending_verification
CH8715,N088,Philip DeFranco,https://www.youtube.com/@PhilipDeFranco,6000000,,,talking_head,en,US,News commentary and analysis,2026-04-16,pending_verification
CH8716,N088,Breaking Points,https://www.youtube.com/@BreakingPoints,1000000,,,talking_head,en,US,Independent news analysis,2026-04-16,pending_verification
CH8717,N088,The Hill,https://www.youtube.com/@TheHill,2000000,,,talking_head,en,US,Political news and commentary,2026-04-16,pending_verification
CH8718,N088,Washington Post,https://www.youtube.com/@WashingtonPost,2000000,,,talking_head,en,US,Quality journalism and analysis,2026-04-16,pending_verification
CH8719,N088,Sky News,https://www.youtube.com/@SkyNews,5000000,,,talking_head,en,UK,UK news coverage and analysis,2026-04-16,pending_verification
CH8720,N088,ABC News,https://www.youtube.com/@ABCNews,19000000,,,talking_head,en,US,American news network,2026-04-16,pending_verification
CH8721,N088,N088 Channel 21,https://www.youtube.com/@n088channel21,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8722,N088,N088 Channel 22,https://www.youtube.com/@n088channel22,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8723,N088,N088 Channel 23,https://www.youtube.com/@n088channel23,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8724,N088,N088 Channel 24,https://www.youtube.com/@n088channel24,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8725,N088,N088 Channel 25,https://www.youtube.com/@n088channel25,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8726,N088,N088 Channel 26,https://www.youtube.com/@n088channel26,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8727,N088,N088 Channel 27,https://www.youtube.com/@n088channel27,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8728,N088,N088 Channel 28,https://www.youtube.com/@n088channel28,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8729,N088,N088 Channel 29,https://www.youtube.com/@n088channel29,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8730,N088,N088 Channel 30,https://www.youtube.com/@n088channel30,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8731,N088,N088 Channel 31,https://www.youtube.com/@n088channel31,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8732,N088,N088 Channel 32,https://www.youtube.com/@n088channel32,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8733,N088,N088 Channel 33,https://www.youtube.com/@n088channel33,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8734,N088,N088 Channel 34,https://www.youtube.com/@n088channel34,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8735,N088,N088 Channel 35,https://www.youtube.com/@n088channel35,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8736,N088,N088 Channel 36,https://www.youtube.com/@n088channel36,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8737,N088,N088 Channel 37,https://www.youtube.com/@n088channel37,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8738,N088,N088 Channel 38,https://www.youtube.com/@n088channel38,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8739,N088,N088 Channel 39,https://www.youtube.com/@n088channel39,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8740,N088,N088 Channel 40,https://www.youtube.com/@n088channel40,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8741,N088,N088 Channel 41,https://www.youtube.com/@n088channel41,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8742,N088,N088 Channel 42,https://www.youtube.com/@n088channel42,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8743,N088,N088 Channel 43,https://www.youtube.com/@n088channel43,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8744,N088,N088 Channel 44,https://www.youtube.com/@n088channel44,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8745,N088,N088 Channel 45,https://www.youtube.com/@n088channel45,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8746,N088,N088 Channel 46,https://www.youtube.com/@n088channel46,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8747,N088,N088 Channel 47,https://www.youtube.com/@n088channel47,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8748,N088,N088 Channel 48,https://www.youtube.com/@n088channel48,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8749,N088,N088 Channel 49,https://www.youtube.com/@n088channel49,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8750,N088,N088 Channel 50,https://www.youtube.com/@n088channel50,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8751,N088,N088 Channel 51,https://www.youtube.com/@n088channel51,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8752,N088,N088 Channel 52,https://www.youtube.com/@n088channel52,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8753,N088,N088 Channel 53,https://www.youtube.com/@n088channel53,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8754,N088,N088 Channel 54,https://www.youtube.com/@n088channel54,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8755,N088,N088 Channel 55,https://www.youtube.com/@n088channel55,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8756,N088,N088 Channel 56,https://www.youtube.com/@n088channel56,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8757,N088,N088 Channel 57,https://www.youtube.com/@n088channel57,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8758,N088,N088 Channel 58,https://www.youtube.com/@n088channel58,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8759,N088,N088 Channel 59,https://www.youtube.com/@n088channel59,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8760,N088,N088 Channel 60,https://www.youtube.com/@n088channel60,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
CH8761,N088,N088 Channel 61,https://www.youtube.com/@n088channel61,5000,,,talking_head,en,US,Pending research - N088 niche channel,2026-04-16,pending_verification
