channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH8801,N089,Task & Purpose,https://www.youtube.com/@TaskandPurpose,1000000,,,talking_head,en,US,Military news and analysis,2026-04-16,pending_verification
CH8802,N089,Mark Felton Productions,https://www.youtube.com/@MarkFeltonProductions,2000000,,,talking_head,en,UK,Military history documentaries,2026-04-16,pending_verification
CH8803,N089,Kings and Generals,https://www.youtube.com/@KingsandGenerals,3000000,,,talking_head,en,US,Military history campaigns,2026-04-16,pending_verification
CH8804,N089,The Fat Electrician,https://www.youtube.com/@the_fat_electrician,2000000,,,talking_head,en,US,Military history with humor,2026-04-16,pending_verification
CH8805,N089,Garand Thumb,https://www.youtube.com/@GarandThumb,3000000,,,talking_head,en,US,Military firearms and gear,2026-04-16,pending_verification
CH8806,N089,Ward Carroll,https://www.youtube.com/@WardCarroll,500000,,,talking_head,en,US,Naval aviation and military,2026-04-16,pending_verification
CH8807,N089,Ryan McBeth,https://www.youtube.com/@RyanMcBethProgramming,500000,,,talking_head,en,US,Military analysis and OSINT,2026-04-16,pending_verification
CH8808,N089,Covert Cabal,https://www.youtube.com/@CovertCabal,1000000,,,talking_head,en,US,Military technology analysis,2026-04-16,pending_verification
CH8809,N089,Anders Puck Nielsen,https://www.youtube.com/@anderspuck,300000,,,talking_head,en,DK,Defense and strategy analysis,2026-04-16,pending_verification
CH8810,N089,Montemayor,https://www.youtube.com/@MontemayorChannel,500000,,,talking_head,en,US,WWII Pacific theater analysis,2026-04-16,pending_verification
CH8811,N089,HistoryLegends,https://www.youtube.com/@historylegends,500000,,,talking_head,en,US,Military history analysis,2026-04-16,pending_verification
CH8812,N089,Shawn Ryan Show,https://www.youtube.com/@ShawnRyanShow,2000000,,,talking_head,en,US,Military veteran interviews,2026-04-16,pending_verification
CH8813,N089,PilotPhotog,https://www.youtube.com/@PilotPhotog,300000,,,talking_head,en,US,Military aviation analysis,2026-04-16,pending_verification
CH8814,N089,The Tank Museum,https://www.youtube.com/@TheTankMuseum,500000,,,talking_head,en,UK,Tank and armored vehicle history,2026-04-16,pending_verification
CH8815,N089,Artur Rehi,https://www.youtube.com/@arturrehi,500000,,,talking_head,en,EE,Military analysis Estonia,2026-04-16,pending_verification
