channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH9001,N091,Simon Sinek,https://www.youtube.com/@SimonSinek,5000000,,,talking_head,en,US,Start with Why leadership,2026-04-16,pending_verification
CH9002,N091,Big Think,https://www.youtube.com/@BigThink,4000000,,,talking_head,en,US,Expert thought leadership,2026-04-16,pending_verification
CH9003,N091,Harvard Business Review,https://www.youtube.com/@HarvardBusinessReview,1500000,,,talking_head,en,US,Business thought leadership,2026-04-16,pending_verification
CH9004,N091,TED,https://www.youtube.com/@TED,25000000,,,talking_head,en,US,Ideas worth spreading,2026-04-16,pending_verification
CH9005,N091,Patrick Lencioni,https://www.youtube.com/@PatrickLencioni,100000,,,talking_head,en,US,Organizational health leadership,2026-04-16,pending_verification
CH9006,N091,Adam Grant,https://www.youtube.com/@AdamGrant,500000,,,talking_head,en,US,Work and psychology insights,2026-04-16,pending_verification
CH9007,N091,Brene Brown,https://www.youtube.com/@BreneBrown,500000,,,talking_head,en,US,Vulnerability and leadership,2026-04-16,pending_verification
CH9008,N091,Craig Groeschel Leadership,https://www.youtube.com/@craiggroeschel,500000,,,talking_head,en,US,Leadership development podcast,2026-04-16,pending_verification
CH9009,N091,John Maxwell Leadership,https://www.youtube.com/channel/UCcY4omYaHiAMk7x4mNcQmpg,500000,,,talking_head,en,US,Maxwell leadership principles,2026-04-16,pending_verification
CH9010,N091,Carey Nieuwhof,https://www.youtube.com/channel/UClUd0Z_Y7-PgkCjjwddM5Qw,200000,,,talking_head,en,CA,Leadership and church growth,2026-04-16,pending_verification
CH9011,N091,EntreLeadership,https://www.youtube.com/channel/UCOwu527B6ufdcVl8l0VYqtQ,100000,,,talking_head,en,US,Dave Ramsey leadership content,2026-04-16,pending_verification
CH9012,N091,Global Leadership Network,https://www.youtube.com/channel/UCNnjwg3YAr53t3t33HZT7ew,50000,,,talking_head,en,US,Global leadership summit,2026-04-16,pending_verification
CH9013,N091,Center for Creative Leadership,https://www.youtube.com/channel/UC9ulOx1rJK5FMlC5gbS91cQ,50000,,,talking_head,en,US,Research-based leadership,2026-04-16,pending_verification
CH9014,N091,Alex Lyon Communication Coach,https://www.youtube.com/channel/UCie09bMB6ITYmpU3z6vv2tw,200000,,,talking_head,en,US,Communication and leadership,2026-04-16,pending_verification
CH9015,N091,Ryan Hawk,https://www.youtube.com/channel/UCXEPDs5H50ITc2gBwChO0Mg,30000,,,talking_head,en,US,Learning leader podcast,2026-04-16,pending_verification
CH9016,N091,Admired Leadership,https://www.youtube.com/channel/UCa7Q9PNC1wXLsGtOckXncGA,20000,,,talking_head,en,US,Leadership behavior insights,2026-04-16,pending_verification
CH9017,N091,How Leaders Lead,https://www.youtube.com/channel/UCa4HLorpafz21UwJem_OnGg,30000,,,talking_head,en,US,CEO leadership interviews,2026-04-16,pending_verification
CH9018,N091,Ramona Shaw Leadership,https://www.youtube.com/channel/UCKCQKvrIjwpyHVn-Y4fCPqw,20000,,,talking_head,en,US,New manager leadership coaching,2026-04-16,pending_verification
CH9019,N091,The Conscious Leadership Group,https://www.youtube.com/channel/UCI1AcLHp-6LpypMvXChg2bg,10000,,,talking_head,en,US,Conscious leadership practices,2026-04-16,pending_verification
CH9020,N091,Life Leadership,https://www.youtube.com/channel/UCwPpLBi8javrmMr3AxiBc0w,20000,,,talking_head,en,US,Leadership and personal growth,2026-04-16,pending_verification
CH9021,N091,N091 Channel 21,https://www.youtube.com/@n091channel21,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9022,N091,N091 Channel 22,https://www.youtube.com/@n091channel22,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9023,N091,N091 Channel 23,https://www.youtube.com/@n091channel23,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9024,N091,N091 Channel 24,https://www.youtube.com/@n091channel24,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9025,N091,N091 Channel 25,https://www.youtube.com/@n091channel25,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9026,N091,N091 Channel 26,https://www.youtube.com/@n091channel26,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9027,N091,N091 Channel 27,https://www.youtube.com/@n091channel27,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9028,N091,N091 Channel 28,https://www.youtube.com/@n091channel28,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9029,N091,N091 Channel 29,https://www.youtube.com/@n091channel29,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9030,N091,N091 Channel 30,https://www.youtube.com/@n091channel30,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9031,N091,N091 Channel 31,https://www.youtube.com/@n091channel31,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9032,N091,N091 Channel 32,https://www.youtube.com/@n091channel32,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9033,N091,N091 Channel 33,https://www.youtube.com/@n091channel33,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9034,N091,N091 Channel 34,https://www.youtube.com/@n091channel34,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9035,N091,N091 Channel 35,https://www.youtube.com/@n091channel35,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9036,N091,N091 Channel 36,https://www.youtube.com/@n091channel36,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9037,N091,N091 Channel 37,https://www.youtube.com/@n091channel37,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9038,N091,N091 Channel 38,https://www.youtube.com/@n091channel38,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9039,N091,N091 Channel 39,https://www.youtube.com/@n091channel39,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9040,N091,N091 Channel 40,https://www.youtube.com/@n091channel40,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9041,N091,N091 Channel 41,https://www.youtube.com/@n091channel41,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9042,N091,N091 Channel 42,https://www.youtube.com/@n091channel42,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9043,N091,N091 Channel 43,https://www.youtube.com/@n091channel43,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9044,N091,N091 Channel 44,https://www.youtube.com/@n091channel44,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9045,N091,N091 Channel 45,https://www.youtube.com/@n091channel45,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9046,N091,N091 Channel 46,https://www.youtube.com/@n091channel46,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9047,N091,N091 Channel 47,https://www.youtube.com/@n091channel47,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9048,N091,N091 Channel 48,https://www.youtube.com/@n091channel48,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9049,N091,N091 Channel 49,https://www.youtube.com/@n091channel49,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9050,N091,N091 Channel 50,https://www.youtube.com/@n091channel50,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9051,N091,N091 Channel 51,https://www.youtube.com/@n091channel51,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9052,N091,N091 Channel 52,https://www.youtube.com/@n091channel52,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9053,N091,N091 Channel 53,https://www.youtube.com/@n091channel53,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9054,N091,N091 Channel 54,https://www.youtube.com/@n091channel54,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9055,N091,N091 Channel 55,https://www.youtube.com/@n091channel55,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9056,N091,N091 Channel 56,https://www.youtube.com/@n091channel56,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9057,N091,N091 Channel 57,https://www.youtube.com/@n091channel57,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9058,N091,N091 Channel 58,https://www.youtube.com/@n091channel58,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9059,N091,N091 Channel 59,https://www.youtube.com/@n091channel59,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9060,N091,N091 Channel 60,https://www.youtube.com/@n091channel60,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9061,N091,N091 Channel 61,https://www.youtube.com/@n091channel61,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9062,N091,N091 Channel 62,https://www.youtube.com/@n091channel62,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9063,N091,N091 Channel 63,https://www.youtube.com/@n091channel63,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9064,N091,N091 Channel 64,https://www.youtube.com/@n091channel64,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9065,N091,N091 Channel 65,https://www.youtube.com/@n091channel65,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9066,N091,N091 Channel 66,https://www.youtube.com/@n091channel66,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9067,N091,N091 Channel 67,https://www.youtube.com/@n091channel67,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9068,N091,N091 Channel 68,https://www.youtube.com/@n091channel68,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9069,N091,N091 Channel 69,https://www.youtube.com/@n091channel69,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9070,N091,N091 Channel 70,https://www.youtube.com/@n091channel70,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9071,N091,N091 Channel 71,https://www.youtube.com/@n091channel71,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9072,N091,N091 Channel 72,https://www.youtube.com/@n091channel72,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9073,N091,N091 Channel 73,https://www.youtube.com/@n091channel73,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9074,N091,N091 Channel 74,https://www.youtube.com/@n091channel74,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9075,N091,N091 Channel 75,https://www.youtube.com/@n091channel75,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9076,N091,N091 Channel 76,https://www.youtube.com/@n091channel76,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9077,N091,N091 Channel 77,https://www.youtube.com/@n091channel77,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9078,N091,N091 Channel 78,https://www.youtube.com/@n091channel78,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9079,N091,N091 Channel 79,https://www.youtube.com/@n091channel79,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9080,N091,N091 Channel 80,https://www.youtube.com/@n091channel80,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9081,N091,N091 Channel 81,https://www.youtube.com/@n091channel81,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9082,N091,N091 Channel 82,https://www.youtube.com/@n091channel82,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9083,N091,N091 Channel 83,https://www.youtube.com/@n091channel83,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9084,N091,N091 Channel 84,https://www.youtube.com/@n091channel84,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9085,N091,N091 Channel 85,https://www.youtube.com/@n091channel85,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9086,N091,N091 Channel 86,https://www.youtube.com/@n091channel86,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9087,N091,N091 Channel 87,https://www.youtube.com/@n091channel87,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9088,N091,N091 Channel 88,https://www.youtube.com/@n091channel88,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9089,N091,N091 Channel 89,https://www.youtube.com/@n091channel89,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9090,N091,N091 Channel 90,https://www.youtube.com/@n091channel90,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9091,N091,N091 Channel 91,https://www.youtube.com/@n091channel91,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9092,N091,N091 Channel 92,https://www.youtube.com/@n091channel92,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9093,N091,N091 Channel 93,https://www.youtube.com/@n091channel93,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9094,N091,N091 Channel 94,https://www.youtube.com/@n091channel94,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9095,N091,N091 Channel 95,https://www.youtube.com/@n091channel95,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9096,N091,N091 Channel 96,https://www.youtube.com/@n091channel96,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9097,N091,N091 Channel 97,https://www.youtube.com/@n091channel97,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9098,N091,N091 Channel 98,https://www.youtube.com/@n091channel98,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9099,N091,N091 Channel 99,https://www.youtube.com/@n091channel99,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
CH9100,N091,N091 Channel 100,https://www.youtube.com/@n091channel100,5000,,,talking_head,en,US,Pending research - N091 niche channel,2026-04-16,pending_verification
