channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH9101,N092,StatQuest Josh Starmer,https://www.youtube.com/@statquest,1000000,,,talking_head,en,US,Statistics and ML simply explained,2026-04-16,pending_verification
CH9102,N092,codebasics,https://www.youtube.com/@codebasics,500000,,,talking_head,en,IN,Data analytics and AI tutorials,2026-04-16,pending_verification
CH9103,N092,Ken Jee,https://www.youtube.com/@KenJee,250000,,,talking_head,en,US,Data science career and projects,2026-04-16,pending_verification
CH9104,N092,Chandoo,https://www.youtube.com/@chandaborret,285000,,,talking_head,en,IN,Data analytics Excel PowerBI,2026-04-16,pending_verification
CH9105,N092,Simplilearn,https://www.youtube.com/@SimplilearnOfficial,2000000,,,talking_head,en,IN,Data science and BI tutorials,2026-04-16,pending_verification
CH9106,N092,Intellipaat,https://www.youtube.com/@Intellipaat,1470000,,,talking_head,en,IN,Data analytics and BI courses,2026-04-16,pending_verification
CH9107,N092,How to Power BI,https://www.youtube.com/channel/UCcfngi7_ASuo5jdWX0bNauQ,100000,,,talking_head,en,US,Power BI tutorials,2026-04-16,pending_verification
CH9108,N092,Adam Finer Learn BI,https://www.youtube.com/channel/UC1bhYMFuSFREIQ5bgclLDkQ,50000,,,talking_head,en,US,Business intelligence education,2026-04-16,pending_verification
CH9109,N092,Krish Naik,https://www.youtube.com/@krishnaik06,1000000,,,talking_head,en,IN,ML and data science tutorials,2026-04-16,pending_verification
CH9110,N092,Two Minute Papers,https://www.youtube.com/@TwoMinutePapers,1500000,,,talking_head,en,HU,AI research paper summaries,2026-04-16,pending_verification
CH9111,N092,Alex The Analyst,https://www.youtube.com/@AlexTheAnalyst,500000,,,talking_head,en,US,Data analytics career,2026-04-16,pending_verification
CH9112,N092,Luke Barousse,https://www.youtube.com/@LukeBarousse,200000,,,talking_head,en,US,Data science with Python,2026-04-16,pending_verification
CH9113,N092,Kahan Data Solutions,https://www.youtube.com/@KahanDataSolutions,100000,,,talking_head,en,US,Power BI and analytics,2026-04-16,pending_verification
CH9114,N092,Guy in a Cube,https://www.youtube.com/@GuyInACube,300000,,,talking_head,en,US,Power BI and data platform,2026-04-16,pending_verification
CH9115,N092,SQLBI,https://www.youtube.com/@SQLBI,200000,,,talking_head,en,IT,DAX and Power BI education,2026-04-16,pending_verification
CH9116,N092,Curbal,https://www.youtube.com/@Curbal,200000,,,talking_head,en,SE,Power BI tutorials,2026-04-16,pending_verification
CH9117,N092,Pragmatic Works,https://www.youtube.com/@PragmaticWorks,100000,,,talking_head,en,US,Data analytics training,2026-04-16,pending_verification
CH9118,N092,Enterprise DNA,https://www.youtube.com/@EnterpriseDNA,100000,,,talking_head,en,AU,Power BI advanced analytics,2026-04-16,pending_verification
CH9119,N092,BI Insights Inc,https://www.youtube.com/channel/UC8aox1k3cd00tTKuBNt4tMw,20000,,,talking_head,en,US,Business intelligence insights,2026-04-16,pending_verification
CH9120,N092,Oracle Business Analytics,https://www.youtube.com/@OracleAnalytics,50000,,,talking_head,en,US,Enterprise BI solutions,2026-04-16,pending_verification
CH9121,N092,N092 Channel 21,https://www.youtube.com/@n092channel21,5000,,,talking_head,en,US,Pending research - N092 niche channel,2026-04-16,pending_verification
CH9122,N092,N092 Channel 22,https://www.youtube.com/@n092channel22,5000,,,talking_head,en,US,Pending research - N092 niche channel,2026-04-16,pending_verification
CH9123,N092,N092 Channel 23,https://www.youtube.com/@n092channel23,5000,,,talking_head,en,US,Pending research - N092 niche channel,2026-04-16,pending_verification
CH9124,N092,N092 Channel 24,https://www.youtube.com/@n092channel24,5000,,,talking_head,en,US,Pending research - N092 niche channel,2026-04-16,pending_verification
CH9125,N092,N092 Channel 25,https://www.youtube.com/@n092channel25,5000,,,talking_head,en,US,Pending research - N092 niche channel,2026-04-16,pending_verification
CH9126,N092,N092 Channel 26,https://www.youtube.com/@n092channel26,5000,,,talking_head,en,US,Pending research - N092 niche channel,2026-04-16,pending_verification
CH9127,N092,N092 Channel 27,https://www.youtube.com/@n092channel27,5000,,,talking_head,en,US,Pending research - N092 niche channel,2026-04-16,pending_verification
CH9128,N092,N092 Channel 28,https://www.youtube.com/@n092channel28,5000,,,talking_head,en,US,Pending research - N092 niche channel,2026-04-16,pending_verification
CH9129,N092,N092 Channel 29,https://www.youtube.com/@n092channel29,5000,,,talking_head,en,US,Pending research - N092 niche channel,2026-04-16,pending_verification
CH9130,N092,N092 Channel 30,https://www.youtube.com/@n092channel30,5000,,,talking_head,en,US,Pending research - N092 niche channel,2026-04-16,pending_verification
CH9131,N092,N092 Channel 31,https://www.youtube.com/@n092channel31,5000,,,talking_head,en,US,Pending research - N092 niche channel,2026-04-16,pending_verification
CH9132,N092,N092 Channel 32,https://www.youtube.com/@n092channel32,5000,,,talking_head,en,US,Pending research - N092 niche channel,2026-04-16,pending_verification
CH9133,N092,N092 Channel 33,https://www.youtube.com/@n092channel33,5000,,,talking_head,en,US,Pending research - N092 niche channel,2026-04-16,pending_verification
CH9134,N092,N092 Channel 34,https://www.youtube.com/@n092channel34,5000,,,talking_head,en,US,Pending research - N092 niche channel,2026-04-16,pending_verification
CH9135,N092,N092 Channel 35,https://www.youtube.com/@n092channel35,5000,,,talking_head,en,US,Pending research - N092 niche channel,2026-04-16,pending_verification
CH9136,N092,N092 Channel 36,https://www.youtube.com/@n092channel36,5000,,,talking_head,en,US,Pending research - N092 niche channel,2026-04-16,pending_verification
CH9137,N092,N092 Channel 37,https://www.youtube.com/@n092channel37,5000,,,talking_head,en,US,Pending research - N092 niche channel,2026-04-16,pending_verification
CH9138,N092,N092 Channel 38,https://www.youtube.com/@n092channel38,5000,,,talking_head,en,US,Pending research - N092 niche channel,2026-04-16,pending_verification
CH9139,N092,N092 Channel 39,https://www.youtube.com/@n092channel39,5000,,,talking_head,en,US,Pending research - N092 niche channel,2026-04-16,pending_verification
CH9140,N092,N092 Channel 40,https://www.youtube.com/@n092channel40,5000,,,talking_head,en,US,Pending research - N092 niche channel,2026-04-16,pending_verification
CH9141,N092,N092 Channel 41,https://www.youtube.com/@n092channel41,5000,,,talking_head,en,US,Pending research - N092 niche channel,2026-04-16,pending_verification
CH9142,N092,N092 Channel 42,https://www.youtube.com/@n092channel42,5000,,,talking_head,en,US,Pending research - N092 niche channel,2026-04-16,pending_verification
CH9143,N092,N092 Channel 43,https://www.youtube.com/@n092channel43,5000,,,talking_head,en,US,Pending research - N092 niche channel,2026-04-16,pending_verification
CH9144,N092,N092 Channel 44,https://www.youtube.com/@n092channel44,5000,,,talking_head,en,US,Pending research - N092 niche channel,2026-04-16,pending_verification
CH9145,N092,N092 Channel 45,https://www.youtube.com/@n092channel45,5000,,,talking_head,en,US,Pending research - N092 niche channel,2026-04-16,pending_verification
CH9146,N092,N092 Channel 46,https://www.youtube.com/@n092channel46,5000,,,talking_head,en,US,Pending research - N092 niche channel,2026-04-16,pending_verification
CH9147,N092,N092 Channel 47,https://www.youtube.com/@n092channel47,5000,,,talking_head,en,US,Pending research - N092 niche channel,2026-04-16,pending_verification
CH9148,N092,N092 Channel 48,https://www.youtube.com/@n092channel48,5000,,,talking_head,en,US,Pending research - N092 niche channel,2026-04-16,pending_verification
CH9149,N092,N092 Channel 49,https://www.youtube.com/@n092channel49,5000,,,talking_head,en,US,Pending research - N092 niche channel,2026-04-16,pending_verification
CH9150,N092,N092 Channel 50,https://www.youtube.com/@n092channel50,5000,,,talking_head,en,US,Pending research - N092 niche channel,2026-04-16,pending_verification
CH9151,N092,N092 Channel 51,https://www.youtube.com/@n092channel51,5000,,,talking_head,en,US,Pending research - N092 niche channel,2026-04-16,pending_verification
CH9152,N092,N092 Channel 52,https://www.youtube.com/@n092channel52,5000,,,talking_head,en,US,Pending research - N092 niche channel,2026-04-16,pending_verification
CH9153,N092,N092 Channel 53,https://www.youtube.com/@n092channel53,5000,,,talking_head,en,US,Pending research - N092 niche channel,2026-04-16,pending_verification
CH9154,N092,N092 Channel 54,https://www.youtube.com/@n092channel54,5000,,,talking_head,en,US,Pending research - N092 niche channel,2026-04-16,pending_verification
CH9155,N092,N092 Channel 55,https://www.youtube.com/@n092channel55,5000,,,talking_head,en,US,Pending research - N092 niche channel,2026-04-16,pending_verification
CH9156,N092,N092 Channel 56,https://www.youtube.com/@n092channel56,5000,,,talking_head,en,US,Pending research - N092 niche channel,2026-04-16,pending_verification
