channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH9201,N093,Leila Gharani,https://www.youtube.com/channel/UCJtUOos_MwJa_Ewii-R3cJA,3000000,,,talking_head,en,AT,Advanced Excel techniques,2026-04-16,pending_verification
CH9202,N093,ExcelIsFun,https://www.youtube.com/channel/UCkndrGoNpUDV-uia6a9jwVg,1000000,,,talking_head,en,US,Excel magic trick tutorials,2026-04-16,pending_verification
CH9203,N093,Excel Campus Jon,https://www.youtube.com/channel/UCSxX7Vgyu9iThxPE1jSDFdw,686000,,,talking_head,en,US,Excel VBA and tips,2026-04-16,pending_verification
CH9204,N093,Chandoo,https://www.youtube.com/channel/UC8uU_wruBMHeeRma49dtZKA,285000,,,talking_head,en,IN,Excel PowerBI and data,2026-04-16,pending_verification
CH9205,N093,MrExcel,https://www.youtube.com/channel/UCXbicpVq_ALWG4ijPKsR7ZQ,167000,,,talking_head,en,US,Excel tips and solutions,2026-04-16,pending_verification
CH9206,N093,MyOnlineTrainingHub,https://www.youtube.com/channel/UCiYjpuUaSfkvdZkmtDU7JRw,200000,,,talking_head,en,AU,Excel and Google Sheets training,2026-04-16,pending_verification
CH9207,N093,Computergaga,https://www.youtube.com/channel/UCd8GVoiUzlWtGHllMI5hmsA,150000,,,talking_head,en,UK,Excel tutorials clear and concise,2026-04-16,pending_verification
CH9208,N093,Trump Excel,https://www.youtube.com/channel/UCi0jBGKMYsoefrRSjyUADag,200000,,,talking_head,en,IN,Excel tips and tricks,2026-04-16,pending_verification
CH9209,N093,TeachExcel,https://www.youtube.com/channel/UCa1s7iQUX6JBnkUrUkEknOg,100000,,,talking_head,en,US,Excel teaching and tutorials,2026-04-16,pending_verification
CH9210,N093,Excel For Freelancers,https://www.youtube.com/channel/UCXhiOv9VT_0XSnVXyEh4pWw,100000,,,talking_head,en,US,Excel for business freelancers,2026-04-16,pending_verification
CH9211,N093,PK An Excel Expert,https://www.youtube.com/channel/UCABOBqS3y8Xn_o7bXvH-j2Q,50000,,,talking_head,en,IN,Advanced Excel expert tips,2026-04-16,pending_verification
CH9212,N093,Doug H,https://www.youtube.com/channel/UChI2EH0n8uHLxXjH_9rHkFg,100000,,,talking_head,en,US,Excel tutorials and education,2026-04-16,pending_verification
CH9213,N093,Contextures Inc,https://www.youtube.com/channel/UCNFqyNLJshdysCyj-xeegnA,50000,,,talking_head,en,CA,Excel pivot tables and tips,2026-04-16,pending_verification
CH9214,N093,GoSkills,https://www.youtube.com/channel/UCL2vj8V-Zo4_zVuZvMwR_JA,50000,,,talking_head,en,NZ,Excel online courses,2026-04-16,pending_verification
CH9215,N093,Exceljet,https://www.youtube.com/channel/UCYJRiP_1kPEPJfstlB4wAbA,30000,,,talking_head,en,US,Excel formulas and shortcuts,2026-04-16,pending_verification
