channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH9301,N094,SHRM,https://www.youtube.com/@SHRM,100000,,,talking_head,en,US,Society for HR Management,2026-04-16,pending_verification
CH9302,N094,HR.com,https://www.youtube.com/@HRdotcom,30000,,,talking_head,en,CA,World largest HR social network,2026-04-16,pending_verification
CH9303,N094,AIHR,https://www.youtube.com/@AIHR,100000,,,talking_head,en,NL,Academy to Innovate HR,2026-04-16,pending_verification
CH9304,N094,HR University Josh Fechter,https://www.youtube.com/@HRUniversity,50000,,,talking_head,en,US,HR education and resources,2026-04-16,pending_verification
CH9305,N094,Workology Jessica Miller-Merrell,https://www.youtube.com/@Workology,20000,,,talking_head,en,US,HR and workplace leadership,2026-04-16,pending_verification
CH9306,N094,HR Bartender Sharlyn Lauby,https://www.youtube.com/@HRBartender,10000,,,talking_head,en,US,Approachable HR topics,2026-04-16,pending_verification
CH9307,N094,HR Trend Institute,https://www.youtube.com/@HRTrendInstitute,10000,,,talking_head,en,NL,Emerging HR trends,2026-04-16,pending_verification
CH9308,N094,BambooHR,https://www.youtube.com/@BambooHR,50000,,,talking_head,en,US,HR software and culture,2026-04-16,pending_verification
CH9309,N094,Lattice,https://www.youtube.com/@Lattice,20000,,,talking_head,en,US,People management platform,2026-04-16,pending_verification
CH9310,N094,Culture Amp,https://www.youtube.com/@CultureAmp,10000,,,talking_head,en,AU,Employee experience platform,2026-04-16,pending_verification
CH9311,N094,Bersin by Deloitte,https://www.youtube.com/@JoshBersin,30000,,,talking_head,en,US,HR research and advisory,2026-04-16,pending_verification
CH9312,N094,LinkedIn Talent Solutions,https://www.youtube.com/@LinkedInTalent,50000,,,talking_head,en,US,Talent acquisition strategies,2026-04-16,pending_verification
CH9313,N094,Recruiting Brainfood,https://www.youtube.com/@RecruitingBrainfood,10000,,,talking_head,en,UK,Recruiting news and insights,2026-04-16,pending_verification
CH9314,N094,Ongig,https://www.youtube.com/@Ongig,5000,,,talking_head,en,US,Job description optimization,2026-04-16,pending_verification
CH9315,N094,HR Morning,https://www.youtube.com/@HRMorning,10000,,,talking_head,en,US,HR news and compliance,2026-04-16,pending_verification
CH9316,N094,People Analytics World,https://www.youtube.com/@PeopleAnalytics,10000,,,talking_head,en,UK,HR analytics education,2026-04-16,pending_verification
CH9317,N094,Hacking HR,https://www.youtube.com/@HackingHR,20000,,,talking_head,en,US,HR innovation community,2026-04-16,pending_verification
CH9318,N094,HR TechConf,https://www.youtube.com/@HRTechConf,10000,,,talking_head,en,US,HR technology conference,2026-04-16,pending_verification
CH9319,N094,Namely HR,https://www.youtube.com/@Namely,10000,,,talking_head,en,US,HR platform for midsize companies,2026-04-16,pending_verification
CH9320,N094,Gusto HR,https://www.youtube.com/@Gusto,30000,,,talking_head,en,US,Small business HR platform,2026-04-16,pending_verification
CH9321,N094,N094 Channel 21,https://www.youtube.com/@n094channel21,5000,,,talking_head,en,US,Pending research - N094 niche channel,2026-04-16,pending_verification
CH9322,N094,N094 Channel 22,https://www.youtube.com/@n094channel22,5000,,,talking_head,en,US,Pending research - N094 niche channel,2026-04-16,pending_verification
CH9323,N094,N094 Channel 23,https://www.youtube.com/@n094channel23,5000,,,talking_head,en,US,Pending research - N094 niche channel,2026-04-16,pending_verification
CH9324,N094,N094 Channel 24,https://www.youtube.com/@n094channel24,5000,,,talking_head,en,US,Pending research - N094 niche channel,2026-04-16,pending_verification
CH9325,N094,N094 Channel 25,https://www.youtube.com/@n094channel25,5000,,,talking_head,en,US,Pending research - N094 niche channel,2026-04-16,pending_verification
CH9326,N094,N094 Channel 26,https://www.youtube.com/@n094channel26,5000,,,talking_head,en,US,Pending research - N094 niche channel,2026-04-16,pending_verification
CH9327,N094,N094 Channel 27,https://www.youtube.com/@n094channel27,5000,,,talking_head,en,US,Pending research - N094 niche channel,2026-04-16,pending_verification
CH9328,N094,N094 Channel 28,https://www.youtube.com/@n094channel28,5000,,,talking_head,en,US,Pending research - N094 niche channel,2026-04-16,pending_verification
CH9329,N094,N094 Channel 29,https://www.youtube.com/@n094channel29,5000,,,talking_head,en,US,Pending research - N094 niche channel,2026-04-16,pending_verification
CH9330,N094,N094 Channel 30,https://www.youtube.com/@n094channel30,5000,,,talking_head,en,US,Pending research - N094 niche channel,2026-04-16,pending_verification
CH9331,N094,N094 Channel 31,https://www.youtube.com/@n094channel31,5000,,,talking_head,en,US,Pending research - N094 niche channel,2026-04-16,pending_verification
