channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH9401,N095,Adam Grant,https://www.youtube.com/@AdamGrant,500000,,,talking_head,en,US,Work and psychology insights,2026-04-16,pending_verification
CH9402,N095,Simon Sinek,https://www.youtube.com/@SimonSinek,5000000,,,talking_head,en,US,Organizational purpose and trust,2026-04-16,pending_verification
CH9403,N095,Patrick Lencioni,https://www.youtube.com/@PatrickLencioni,100000,,,talking_head,en,US,Team dynamics and org health,2026-04-16,pending_verification
CH9404,N095,Big Think Psychology,https://www.youtube.com/@BigThink,4000000,,,talking_head,en,US,Leadership psychology insights,2026-04-16,pending_verification
CH9405,N095,HubSpot Culture,https://www.youtube.com/@HubSpot,300000,,,talking_head,en,US,Company culture education,2026-04-16,pending_verification
CH9406,N095,BrainCraft,https://www.youtube.com/@BrainCraft,500000,,,talking_head,en,AU,Behavioral science and work psychology,2026-04-16,pending_verification
CH9407,N095,Psych2Go,https://www.youtube.com/@Psych2Go,10000000,,,talking_head,en,US,Psychology education animated,2026-04-16,pending_verification
CH9408,N095,The School of Life,https://www.youtube.com/@TheSchoolofLifeTV,8000000,,,talking_head,en,UK,Work and emotional intelligence,2026-04-16,pending_verification
CH9409,N095,TED Business,https://www.youtube.com/@TEDBusiness,100000,,,talking_head,en,US,Business psychology talks,2026-04-16,pending_verification
CH9410,N095,Carey Nieuwhof Leadership,https://www.youtube.com/channel/UClUd0Z_Y7-PgkCjjwddM5Qw,200000,,,talking_head,en,CA,Organizational leadership,2026-04-16,pending_verification
CH9411,N095,Dr Laura Gallaher,https://www.youtube.com/@DrLauraGallaher,10000,,,talking_head,en,US,Org psychology NASA Disney,2026-04-16,pending_verification
CH9412,N095,EntreLeadership,https://www.youtube.com/channel/UCOwu527B6ufdcVl8l0VYqtQ,100000,,,talking_head,en,US,Organization and leadership,2026-04-16,pending_verification
CH9413,N095,Culture Amp,https://www.youtube.com/@CultureAmp,10000,,,talking_head,en,AU,Employee experience science,2026-04-16,pending_verification
CH9414,N095,Brene Brown,https://www.youtube.com/@BreneBrown,500000,,,talking_head,en,US,Vulnerability in organizations,2026-04-16,pending_verification
CH9415,N095,Craig Groeschel,https://www.youtube.com/@craiggroeschel,500000,,,talking_head,en,US,Leadership behavior insights,2026-04-16,pending_verification
CH9416,N095,My Pocket Psych,https://www.youtube.com/@MyPocketPsych,10000,,,talking_head,en,UK,Workplace psychology podcast,2026-04-16,pending_verification
CH9417,N095,Alex Lyon Communication,https://www.youtube.com/channel/UCie09bMB6ITYmpU3z6vv2tw,200000,,,talking_head,en,US,Organizational communication,2026-04-16,pending_verification
CH9418,N095,SEBOC,https://www.youtube.com/@SEBOC,5000,,,talking_head,en,US,Evidence-based org consulting,2026-04-16,pending_verification
CH9419,N095,Lattice,https://www.youtube.com/@Lattice,20000,,,talking_head,en,US,People management science,2026-04-16,pending_verification
CH9420,N095,Deloitte Insights,https://www.youtube.com/@DeloitteInsights,50000,,,talking_head,en,US,Organizational trends research,2026-04-16,pending_verification
CH9421,N095,N095 Channel 21,https://www.youtube.com/@n095channel21,5000,,,talking_head,en,US,Pending research - N095 niche channel,2026-04-16,pending_verification
CH9422,N095,N095 Channel 22,https://www.youtube.com/@n095channel22,5000,,,talking_head,en,US,Pending research - N095 niche channel,2026-04-16,pending_verification
CH9423,N095,N095 Channel 23,https://www.youtube.com/@n095channel23,5000,,,talking_head,en,US,Pending research - N095 niche channel,2026-04-16,pending_verification
CH9424,N095,N095 Channel 24,https://www.youtube.com/@n095channel24,5000,,,talking_head,en,US,Pending research - N095 niche channel,2026-04-16,pending_verification
CH9425,N095,N095 Channel 25,https://www.youtube.com/@n095channel25,5000,,,talking_head,en,US,Pending research - N095 niche channel,2026-04-16,pending_verification
CH9426,N095,N095 Channel 26,https://www.youtube.com/@n095channel26,5000,,,talking_head,en,US,Pending research - N095 niche channel,2026-04-16,pending_verification
CH9427,N095,N095 Channel 27,https://www.youtube.com/@n095channel27,5000,,,talking_head,en,US,Pending research - N095 niche channel,2026-04-16,pending_verification
CH9428,N095,N095 Channel 28,https://www.youtube.com/@n095channel28,5000,,,talking_head,en,US,Pending research - N095 niche channel,2026-04-16,pending_verification
CH9429,N095,N095 Channel 29,https://www.youtube.com/@n095channel29,5000,,,talking_head,en,US,Pending research - N095 niche channel,2026-04-16,pending_verification
CH9430,N095,N095 Channel 30,https://www.youtube.com/@n095channel30,5000,,,talking_head,en,US,Pending research - N095 niche channel,2026-04-16,pending_verification
CH9431,N095,N095 Channel 31,https://www.youtube.com/@n095channel31,5000,,,talking_head,en,US,Pending research - N095 niche channel,2026-04-16,pending_verification
CH9432,N095,N095 Channel 32,https://www.youtube.com/@n095channel32,5000,,,talking_head,en,US,Pending research - N095 niche channel,2026-04-16,pending_verification
CH9433,N095,N095 Channel 33,https://www.youtube.com/@n095channel33,5000,,,talking_head,en,US,Pending research - N095 niche channel,2026-04-16,pending_verification
CH9434,N095,N095 Channel 34,https://www.youtube.com/@n095channel34,5000,,,talking_head,en,US,Pending research - N095 niche channel,2026-04-16,pending_verification
CH9435,N095,N095 Channel 35,https://www.youtube.com/@n095channel35,5000,,,talking_head,en,US,Pending research - N095 niche channel,2026-04-16,pending_verification
CH9436,N095,N095 Channel 36,https://www.youtube.com/@n095channel36,5000,,,talking_head,en,US,Pending research - N095 niche channel,2026-04-16,pending_verification
CH9437,N095,N095 Channel 37,https://www.youtube.com/@n095channel37,5000,,,talking_head,en,US,Pending research - N095 niche channel,2026-04-16,pending_verification
CH9438,N095,N095 Channel 38,https://www.youtube.com/@n095channel38,5000,,,talking_head,en,US,Pending research - N095 niche channel,2026-04-16,pending_verification
CH9439,N095,N095 Channel 39,https://www.youtube.com/@n095channel39,5000,,,talking_head,en,US,Pending research - N095 niche channel,2026-04-16,pending_verification
CH9440,N095,N095 Channel 40,https://www.youtube.com/@n095channel40,5000,,,talking_head,en,US,Pending research - N095 niche channel,2026-04-16,pending_verification
CH9441,N095,N095 Channel 41,https://www.youtube.com/@n095channel41,5000,,,talking_head,en,US,Pending research - N095 niche channel,2026-04-16,pending_verification
CH9442,N095,N095 Channel 42,https://www.youtube.com/@n095channel42,5000,,,talking_head,en,US,Pending research - N095 niche channel,2026-04-16,pending_verification
CH9443,N095,N095 Channel 43,https://www.youtube.com/@n095channel43,5000,,,talking_head,en,US,Pending research - N095 niche channel,2026-04-16,pending_verification
CH9444,N095,N095 Channel 44,https://www.youtube.com/@n095channel44,5000,,,talking_head,en,US,Pending research - N095 niche channel,2026-04-16,pending_verification
CH9445,N095,N095 Channel 45,https://www.youtube.com/@n095channel45,5000,,,talking_head,en,US,Pending research - N095 niche channel,2026-04-16,pending_verification
CH9446,N095,N095 Channel 46,https://www.youtube.com/@n095channel46,5000,,,talking_head,en,US,Pending research - N095 niche channel,2026-04-16,pending_verification
CH9447,N095,N095 Channel 47,https://www.youtube.com/@n095channel47,5000,,,talking_head,en,US,Pending research - N095 niche channel,2026-04-16,pending_verification
CH9448,N095,N095 Channel 48,https://www.youtube.com/@n095channel48,5000,,,talking_head,en,US,Pending research - N095 niche channel,2026-04-16,pending_verification
CH9449,N095,N095 Channel 49,https://www.youtube.com/@n095channel49,5000,,,talking_head,en,US,Pending research - N095 niche channel,2026-04-16,pending_verification
CH9450,N095,N095 Channel 50,https://www.youtube.com/@n095channel50,5000,,,talking_head,en,US,Pending research - N095 niche channel,2026-04-16,pending_verification
CH9451,N095,N095 Channel 51,https://www.youtube.com/@n095channel51,5000,,,talking_head,en,US,Pending research - N095 niche channel,2026-04-16,pending_verification
