channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH9501,N096,Supply Chain Secrets,https://www.youtube.com/channel/UClRh--VCfs3fa0NaoiSIVvg,50000,,,talking_head,en,AU,Supply chain lessons and insights,2026-04-16,pending_verification
CH9502,N096,SCMDOJO,https://www.youtube.com/channel/UC5tLe6Z3XN3DkvsBPjrE4AQ,30000,,,talking_head,en,US,Supply chain management education,2026-04-16,pending_verification
CH9503,N096,Supply Chain Now,https://www.youtube.com/channel/UCuqKDp8uxinIM8ORIOLr0qw,30000,,,talking_head,en,US,Supply chain leader interviews,2026-04-16,pending_verification
CH9504,N096,Lokad,https://www.youtube.com/channel/UC5r43_A7T7qXAty-uvNuJ5Q,20000,,,talking_head,en,FR,AI in supply chain,2026-04-16,pending_verification
CH9505,N096,SupplyChainBrain,https://www.youtube.com/channel/UCFbWBT6iRI57nWxVczMWZqw,20000,,,talking_head,en,US,Supply chain news and insights,2026-04-16,pending_verification
CH9506,N096,Ryder,https://www.youtube.com/channel/UCe2OdGoXbpZ2GuK1A7Xl77A,20000,,,talking_head,en,US,Fleet and supply chain solutions,2026-04-16,pending_verification
CH9507,N096,Locus,https://www.youtube.com/channel/UCtbHoTbKKmhTAkKu4zY8WKA,10000,,,talking_head,en,IN,Supply chain optimization,2026-04-16,pending_verification
CH9508,N096,Association for SCM,https://www.youtube.com/channel/UCJx_EjxDb0155qnUNCB9DlQ,20000,,,talking_head,en,US,ASCM supply chain education,2026-04-16,pending_verification
CH9509,N096,SAP Digital Supply Chain,https://www.youtube.com/channel/UCELmE2CEAkcwqpBLnuZHufA,10000,,,talking_head,en,DE,Enterprise supply chain,2026-04-16,pending_verification
CH9510,N096,Oracle Supply Chain,https://www.youtube.com/channel/UCs0DXMCnvP2v1nRvGk8oIYg,10000,,,talking_head,en,US,Oracle SCM solutions,2026-04-16,pending_verification
CH9511,N096,The SC Supply Chain TV,https://www.youtube.com/channel/UCjjcxxsvx5sDR0F33ciy1QQ,10000,,,talking_head,en,US,Supply chain television,2026-04-16,pending_verification
CH9512,N096,CHEP,https://www.youtube.com/channel/UCo_VGXJZGXDIIdSuLbPP7QA,10000,,,talking_head,en,AU,Supply chain solutions,2026-04-16,pending_verification
CH9513,N096,ISCEA,https://www.youtube.com/channel/UCuoByTxuwcnDabJvM4hmjMQ,5000,,,talking_head,en,US,Supply chain certification,2026-04-16,pending_verification
CH9514,N096,Seek-Curiosity,https://www.youtube.com/channel/UCkG1sx2awry0eKty8wnhXNQ,10000,,,talking_head,en,US,Supply chain curiosity,2026-04-16,pending_verification
CH9515,N096,Supply Chain Digital,https://www.youtube.com/channel/UC5bc7BTnSJYirUMxKlf5VyA,10000,,,talking_head,en,UK,Digital supply chain news,2026-04-16,pending_verification
CH9516,N096,Avetta,https://www.youtube.com/channel/UCo5f1nu_keH5CBN3p0qeWdg,5000,,,talking_head,en,US,Supply chain risk management,2026-04-16,pending_verification
CH9517,N096,SCM Talent Group,https://www.youtube.com/channel/UCCocTIPBnPlvn91mdZ0Jauw,5000,,,talking_head,en,US,Supply chain recruiting,2026-04-16,pending_verification
CH9518,N096,Supply Chain Talks,https://www.youtube.com/channel/UCdgqXRj4NcYJbTjx7_uuiBg,5000,,,talking_head,en,US,Supply chain discussion,2026-04-16,pending_verification
