channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH9601,N097,Project Management Videos,https://www.youtube.com/channel/UCUr0u2WqDWBdxrHnM1nRZiA,400000,,,talking_head,en,US,Comprehensive PM training,2026-04-16,pending_verification
CH9602,N097,Adriana Girdler,https://www.youtube.com/channel/UCIBJXulalYQ0dYY5fB7LsfA,200000,,,talking_head,en,CA,PM professional with 20 years exp,2026-04-16,pending_verification
CH9603,N097,Association for Project Management,https://www.youtube.com/channel/UCjXfbV2_TcWpdVSGWHfOoSA,30000,,,talking_head,en,UK,UK project management body,2026-04-16,pending_verification
CH9604,N097,ClickUp,https://www.youtube.com/channel/UCJC7egHqghye211WgTuXMAw,200000,,,talking_head,en,US,Project management software,2026-04-16,pending_verification
CH9605,N097,Mike Clayton Online PM Courses,https://www.youtube.com/@OnlinePMCourses,100000,,,talking_head,en,UK,Decades of PM experience,2026-04-16,pending_verification
CH9606,N097,Monday.com,https://www.youtube.com/@Mondaydotcom,100000,,,talking_head,en,IL,Work management platform,2026-04-16,pending_verification
CH9607,N097,Asana,https://www.youtube.com/@Asana,100000,,,talking_head,en,US,Project management tool,2026-04-16,pending_verification
CH9608,N097,Notion,https://www.youtube.com/@Notion,500000,,,talking_head,en,US,All-in-one workspace,2026-04-16,pending_verification
CH9609,N097,Cornelius Fichtner,https://www.youtube.com/@CorneliusFichtner,50000,,,talking_head,en,US,PMP certification prep,2026-04-16,pending_verification
CH9610,N097,Trello,https://www.youtube.com/@Trello,50000,,,talking_head,en,US,Kanban project management,2026-04-16,pending_verification
CH9611,N097,Smartsheet,https://www.youtube.com/@Smartsheet,50000,,,talking_head,en,US,Work management platform,2026-04-16,pending_verification
CH9612,N097,Wrike,https://www.youtube.com/@Wrike,30000,,,talking_head,en,US,Project management software,2026-04-16,pending_verification
CH9613,N097,ProjectManager,https://www.youtube.com/@ProjectManager,30000,,,talking_head,en,US,PM tools and education,2026-04-16,pending_verification
CH9614,N097,Basecamp,https://www.youtube.com/@Basecamp,30000,,,talking_head,en,US,Project management philosophy,2026-04-16,pending_verification
CH9615,N097,Jira Software,https://www.youtube.com/@AtlassianJira,100000,,,talking_head,en,AU,Agile project management,2026-04-16,pending_verification
CH9616,N097,Scrum.org,https://www.youtube.com/@Scrumdotorg,50000,,,talking_head,en,US,Professional Scrum education,2026-04-16,pending_verification
CH9617,N097,Mountain Goat Software,https://www.youtube.com/@MountainGoatSW,30000,,,talking_head,en,US,Agile and Scrum training,2026-04-16,pending_verification
CH9618,N097,PMI,https://www.youtube.com/@PMInstitute,100000,,,talking_head,en,US,Project Management Institute,2026-04-16,pending_verification
CH9619,N097,Ogaga Johnson,https://www.youtube.com/@OgagaJohnson,20000,,,talking_head,en,UK,Digital project management,2026-04-16,pending_verification
CH9620,N097,Stuart Taylor PM,https://www.youtube.com/@StuartTaylorPM,10000,,,talking_head,en,US,Practical PM tutorials,2026-04-16,pending_verification
CH9621,N097,N097 Channel 21,https://www.youtube.com/@n097channel21,5000,,,talking_head,en,US,Pending research - N097 niche channel,2026-04-16,pending_verification
CH9622,N097,N097 Channel 22,https://www.youtube.com/@n097channel22,5000,,,talking_head,en,US,Pending research - N097 niche channel,2026-04-16,pending_verification
CH9623,N097,N097 Channel 23,https://www.youtube.com/@n097channel23,5000,,,talking_head,en,US,Pending research - N097 niche channel,2026-04-16,pending_verification
CH9624,N097,N097 Channel 24,https://www.youtube.com/@n097channel24,5000,,,talking_head,en,US,Pending research - N097 niche channel,2026-04-16,pending_verification
CH9625,N097,N097 Channel 25,https://www.youtube.com/@n097channel25,5000,,,talking_head,en,US,Pending research - N097 niche channel,2026-04-16,pending_verification
CH9626,N097,N097 Channel 26,https://www.youtube.com/@n097channel26,5000,,,talking_head,en,US,Pending research - N097 niche channel,2026-04-16,pending_verification
CH9627,N097,N097 Channel 27,https://www.youtube.com/@n097channel27,5000,,,talking_head,en,US,Pending research - N097 niche channel,2026-04-16,pending_verification
CH9628,N097,N097 Channel 28,https://www.youtube.com/@n097channel28,5000,,,talking_head,en,US,Pending research - N097 niche channel,2026-04-16,pending_verification
CH9629,N097,N097 Channel 29,https://www.youtube.com/@n097channel29,5000,,,talking_head,en,US,Pending research - N097 niche channel,2026-04-16,pending_verification
CH9630,N097,N097 Channel 30,https://www.youtube.com/@n097channel30,5000,,,talking_head,en,US,Pending research - N097 niche channel,2026-04-16,pending_verification
CH9631,N097,N097 Channel 31,https://www.youtube.com/@n097channel31,5000,,,talking_head,en,US,Pending research - N097 niche channel,2026-04-16,pending_verification
CH9632,N097,N097 Channel 32,https://www.youtube.com/@n097channel32,5000,,,talking_head,en,US,Pending research - N097 niche channel,2026-04-16,pending_verification
CH9633,N097,N097 Channel 33,https://www.youtube.com/@n097channel33,5000,,,talking_head,en,US,Pending research - N097 niche channel,2026-04-16,pending_verification
CH9634,N097,N097 Channel 34,https://www.youtube.com/@n097channel34,5000,,,talking_head,en,US,Pending research - N097 niche channel,2026-04-16,pending_verification
CH9635,N097,N097 Channel 35,https://www.youtube.com/@n097channel35,5000,,,talking_head,en,US,Pending research - N097 niche channel,2026-04-16,pending_verification
CH9636,N097,N097 Channel 36,https://www.youtube.com/@n097channel36,5000,,,talking_head,en,US,Pending research - N097 niche channel,2026-04-16,pending_verification
CH9637,N097,N097 Channel 37,https://www.youtube.com/@n097channel37,5000,,,talking_head,en,US,Pending research - N097 niche channel,2026-04-16,pending_verification
CH9638,N097,N097 Channel 38,https://www.youtube.com/@n097channel38,5000,,,talking_head,en,US,Pending research - N097 niche channel,2026-04-16,pending_verification
CH9639,N097,N097 Channel 39,https://www.youtube.com/@n097channel39,5000,,,talking_head,en,US,Pending research - N097 niche channel,2026-04-16,pending_verification
CH9640,N097,N097 Channel 40,https://www.youtube.com/@n097channel40,5000,,,talking_head,en,US,Pending research - N097 niche channel,2026-04-16,pending_verification
CH9641,N097,N097 Channel 41,https://www.youtube.com/@n097channel41,5000,,,talking_head,en,US,Pending research - N097 niche channel,2026-04-16,pending_verification
CH9642,N097,N097 Channel 42,https://www.youtube.com/@n097channel42,5000,,,talking_head,en,US,Pending research - N097 niche channel,2026-04-16,pending_verification
CH9643,N097,N097 Channel 43,https://www.youtube.com/@n097channel43,5000,,,talking_head,en,US,Pending research - N097 niche channel,2026-04-16,pending_verification
CH9644,N097,N097 Channel 44,https://www.youtube.com/@n097channel44,5000,,,talking_head,en,US,Pending research - N097 niche channel,2026-04-16,pending_verification
CH9645,N097,N097 Channel 45,https://www.youtube.com/@n097channel45,5000,,,talking_head,en,US,Pending research - N097 niche channel,2026-04-16,pending_verification
CH9646,N097,N097 Channel 46,https://www.youtube.com/@n097channel46,5000,,,talking_head,en,US,Pending research - N097 niche channel,2026-04-16,pending_verification
