channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH9701,N098,Medicare Specialist Abt Insurance,https://www.youtube.com/channel/UCe6HP04-Em629E5-mzTxn8A,141000,,,talking_head,en,US,Medicare plan education,2026-04-16,pending_verification
CH9702,N098,IBC Global,https://www.youtube.com/channel/UCgK9ekcJp5P7KbiumsGKTpg,41000,,,talking_head,en,US,Cash value life insurance education,2026-04-16,pending_verification
CH9703,N098,Life Insurance Academy,https://www.youtube.com/channel/UCcBEpNmQUhnpXkCuycKUQYA,30000,,,talking_head,en,US,Insurance agent training,2026-04-16,pending_verification
CH9704,N098,NEXT Insurance,https://www.youtube.com/channel/UCXKL3pilHs2KJPLaICWskmQ,20000,,,talking_head,en,US,Small business insurance education,2026-04-16,pending_verification
CH9705,N098,Chris The Insurance Guy,https://www.youtube.com/channel/UC-PJfjICZx9BVPXmbejl34w,20000,,,talking_head,en,US,Insurance education and tips,2026-04-16,pending_verification
CH9706,N098,The Insurance Dudes,https://www.youtube.com/channel/UCXM7eVTnk4ZSL2jRVI8Ujlg,10000,,,talking_head,en,US,Insurance industry podcast,2026-04-16,pending_verification
CH9707,N098,Shine Insurance,https://www.youtube.com/channel/UCGO-atb8JOo7usmRuVzG-BA,10000,,,talking_head,en,US,Insurance agency education,2026-04-16,pending_verification
CH9708,N098,Insurance Adjuster 101,https://www.youtube.com/channel/UCYBF80P6aJekDXWETo6-uZg,10000,,,talking_head,en,US,Claims adjuster training,2026-04-16,pending_verification
CH9709,N098,Killing Commercial Insurance,https://www.youtube.com/channel/UCJO0R5T6jJPEKlaUDBVqLRw,10000,,,talking_head,en,US,Commercial insurance sales,2026-04-16,pending_verification
CH9710,N098,David Price Insurance,https://www.youtube.com/channel/UCgsfXooG_Y2qTHJzjY67GwQ,10000,,,talking_head,en,US,Insurance education and reviews,2026-04-16,pending_verification
CH9711,N098,Cash Value Life Insurance Reviews,https://www.youtube.com/channel/UCmO0ZrpsIfgsRT86wm5f2wg,10000,,,talking_head,en,US,Life insurance policy reviews,2026-04-16,pending_verification
CH9712,N098,Insurance Information Institute,https://www.youtube.com/channel/UCZHrcgv-kfi32OPUWoySt9A,10000,,,talking_head,en,US,Insurance industry education,2026-04-16,pending_verification
CH9713,N098,State Farm,https://www.youtube.com/channel/UCsjj_YdoShWrnAHrgN9ud-g,200000,,,talking_head,en,US,Insurance company education,2026-04-16,pending_verification
CH9714,N098,Progressive Insurance,https://www.youtube.com/channel/UCzX4gPZ9x1iK29lv_sHhuDQ,200000,,,talking_head,en,US,Insurance company content,2026-04-16,pending_verification
CH9715,N098,The Alliance Insurance,https://www.youtube.com/channel/UCcTxkFiu-XtuLjH5VpnwBMg,21500,,,talking_head,en,US,Mortgage protection insurance,2026-04-16,pending_verification
CH9716,N098,Life Insurance Exam Prep,https://www.youtube.com/channel/UCvCelUuAQjt6F0BUAkBIOFg,20000,,,talking_head,en,US,Insurance licensing exam prep,2026-04-16,pending_verification
CH9717,N098,Insurance Exam Queen,https://www.youtube.com/channel/UC2-mT7QUl_jHYQRIaw0Ihpg,20000,,,talking_head,en,US,Insurance exam education,2026-04-16,pending_verification
CH9718,N098,Ritter Insurance Marketing,https://www.youtube.com/channel/UCSfVvKGGv0-6aCZBr_2oE1A,10000,,,talking_head,en,US,Insurance marketing education,2026-04-16,pending_verification
CH9719,N098,Brian Taylor Insurance Advisor,https://www.youtube.com/channel/UC9kHEUz4DErfTvLFaHdX3_Q,5000,,,talking_head,en,US,Professional insurance advice,2026-04-16,pending_verification
CH9720,N098,Ambetter Health,https://www.youtube.com/channel/UCG-HNkFhvdAuoiKnVVZ3YDA,10000,,,talking_head,en,US,Health insurance education,2026-04-16,pending_verification
CH9721,N098,N098 Channel 21,https://www.youtube.com/@n098channel21,5000,,,talking_head,en,US,Pending research - N098 niche channel,2026-04-16,pending_verification
CH9722,N098,N098 Channel 22,https://www.youtube.com/@n098channel22,5000,,,talking_head,en,US,Pending research - N098 niche channel,2026-04-16,pending_verification
CH9723,N098,N098 Channel 23,https://www.youtube.com/@n098channel23,5000,,,talking_head,en,US,Pending research - N098 niche channel,2026-04-16,pending_verification
CH9724,N098,N098 Channel 24,https://www.youtube.com/@n098channel24,5000,,,talking_head,en,US,Pending research - N098 niche channel,2026-04-16,pending_verification
CH9725,N098,N098 Channel 25,https://www.youtube.com/@n098channel25,5000,,,talking_head,en,US,Pending research - N098 niche channel,2026-04-16,pending_verification
CH9726,N098,N098 Channel 26,https://www.youtube.com/@n098channel26,5000,,,talking_head,en,US,Pending research - N098 niche channel,2026-04-16,pending_verification
CH9727,N098,N098 Channel 27,https://www.youtube.com/@n098channel27,5000,,,talking_head,en,US,Pending research - N098 niche channel,2026-04-16,pending_verification
