channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH9801,N099,Architectural Digest,https://www.youtube.com/channel/UC0k238zFx-Z8xFH0sxCrPJg,5000000,,,talking_head,en,US,Architecture and interior design tours,2026-04-16,pending_verification
CH9802,N099,The B1M,https://www.youtube.com/@TheB1M,3000000,,,talking_head,en,UK,World of construction and architecture,2026-04-16,pending_verification
CH9803,N099,Stewart Hicks,https://www.youtube.com/@StewartHicks,200000,,,talking_head,en,US,Architecture education and critique,2026-04-16,pending_verification
CH9804,N099,30X40 Design Workshop,https://www.youtube.com/channel/UCoc2ZM2cYas4DijNdaEJXUA,400000,,,talking_head,en,US,Architecture design process,2026-04-16,pending_verification
CH9805,N099,Dezeen,https://www.youtube.com/channel/UCsWG9ANbrmgR0z-eFk_A3YQ,500000,,,talking_head,en,UK,Architecture and design magazine,2026-04-16,pending_verification
CH9806,N099,ArchDaily,https://www.youtube.com/channel/UC3r_kdJocuqtDYb2GgM42Ng,200000,,,talking_head,en,CL,Architecture daily news,2026-04-16,pending_verification
CH9807,N099,Upstairs,https://www.youtube.com/channel/UC1ptLbehYDNqwdnIGwLpysw,100000,,,talking_head,en,US,Architectural representation education,2026-04-16,pending_verification
CH9808,N099,Balkan Architect,https://www.youtube.com/channel/UCapzEjUWyv7H4GtPQrgybTQ,200000,,,talking_head,en,RS,Architecture tutorials Balkans,2026-04-16,pending_verification
CH9809,N099,The Local Project,https://www.youtube.com/channel/UCgxg48_pay4R67s-7WOgWFA,200000,,,talking_head,en,AU,Architecture project tours,2026-04-16,pending_verification
CH9810,N099,RIBA Architecture,https://www.youtube.com/channel/UCFyBrhapjLEVKInk0ocDyPQ,30000,,,talking_head,en,UK,Royal Institute British Architects,2026-04-16,pending_verification
CH9811,N099,Archi Hacks,https://www.youtube.com/channel/UCNfL0P1MAXpM8pQEM9jqZAw,50000,,,talking_head,en,US,Architecture student hacks,2026-04-16,pending_verification
CH9812,N099,Business of Architecture,https://www.youtube.com/channel/UC7xCozKOVFdCZRV7gclrM6A,30000,,,talking_head,en,US,Architecture business education,2026-04-16,pending_verification
CH9813,N099,Show It Better,https://www.youtube.com/channel/UC_eRv_Rzr671BaKFtpYSi4A,100000,,,talking_head,en,US,Architecture visualization,2026-04-16,pending_verification
CH9814,N099,UH Studio Design Academy,https://www.youtube.com/channel/UC4fyqGDhEQq_L4nzSpNMoUA,50000,,,talking_head,en,US,Architecture design tutorials,2026-04-16,pending_verification
CH9815,N099,Parametric Architecture,https://www.youtube.com/channel/UCkGDJyJO27OvHfxCCSbL_Mg,30000,,,talking_head,en,US,Computational design education,2026-04-16,pending_verification
CH9816,N099,Surviving Architecture,https://www.youtube.com/channel/UC8kmK7NIn7MY5xZFxDA5oGw,30000,,,talking_head,en,US,Architecture student survival,2026-04-16,pending_verification
CH9817,N099,ZahaHadid Architects,https://www.youtube.com/channel/UCTv2vM2FdlkTW8EfEoqK9uA,50000,,,talking_head,en,UK,Iconic architecture firm,2026-04-16,pending_verification
CH9818,N099,Architecture Foundation,https://www.youtube.com/channel/UCAaQgfEkcQQ0vxM0dIZLnFg,10000,,,talking_head,en,UK,Architecture education foundation,2026-04-16,pending_verification
CH9819,N099,Dissect Architecture,https://www.youtube.com/channel/UCmiV-SugkntY0SozGNzXuNw,20000,,,talking_head,en,US,Architecture analysis and critique,2026-04-16,pending_verification
CH9820,N099,Architecture Inspirations,https://www.youtube.com/channel/UCsZj_aFDrwLNPZELik04dKg,30000,,,talking_head,en,US,Architecture inspiration content,2026-04-16,pending_verification
CH9821,N099,N099 Channel 21,https://www.youtube.com/@n099channel21,5000,,,talking_head,en,US,Pending research - N099 niche channel,2026-04-16,pending_verification
CH9822,N099,N099 Channel 22,https://www.youtube.com/@n099channel22,5000,,,talking_head,en,US,Pending research - N099 niche channel,2026-04-16,pending_verification
CH9823,N099,N099 Channel 23,https://www.youtube.com/@n099channel23,5000,,,talking_head,en,US,Pending research - N099 niche channel,2026-04-16,pending_verification
CH9824,N099,N099 Channel 24,https://www.youtube.com/@n099channel24,5000,,,talking_head,en,US,Pending research - N099 niche channel,2026-04-16,pending_verification
CH9825,N099,N099 Channel 25,https://www.youtube.com/@n099channel25,5000,,,talking_head,en,US,Pending research - N099 niche channel,2026-04-16,pending_verification
CH9826,N099,N099 Channel 26,https://www.youtube.com/@n099channel26,5000,,,talking_head,en,US,Pending research - N099 niche channel,2026-04-16,pending_verification
CH9827,N099,N099 Channel 27,https://www.youtube.com/@n099channel27,5000,,,talking_head,en,US,Pending research - N099 niche channel,2026-04-16,pending_verification
CH9828,N099,N099 Channel 28,https://www.youtube.com/@n099channel28,5000,,,talking_head,en,US,Pending research - N099 niche channel,2026-04-16,pending_verification
CH9829,N099,N099 Channel 29,https://www.youtube.com/@n099channel29,5000,,,talking_head,en,US,Pending research - N099 niche channel,2026-04-16,pending_verification
CH9830,N099,N099 Channel 30,https://www.youtube.com/@n099channel30,5000,,,talking_head,en,US,Pending research - N099 niche channel,2026-04-16,pending_verification
CH9831,N099,N099 Channel 31,https://www.youtube.com/@n099channel31,5000,,,talking_head,en,US,Pending research - N099 niche channel,2026-04-16,pending_verification
