channel_id,niche_id,channel_name,channel_url,subscriber_count,total_videos,avg_views,format_type,language,country,description,last_scraped,status
CH9901,N100,Mr. Kate,https://www.youtube.com/channel/UCDVPcEbVLQgLZX0Rt6jo34A,3900000,,,talking_head,en,US,Interior design and DIY makeovers,2026-04-16,pending_verification
CH9902,N100,Lone Fox,https://www.youtube.com/@LoneFox,1500000,,,talking_head,en,US,Budget-friendly interior design,2026-04-16,pending_verification
CH9903,N100,Kristen McGowen,https://www.youtube.com/@KristenMcGowen,1800000,,,talking_head,en,US,Interior design hacks and tips,2026-04-16,pending_verification
CH9904,N100,Emily Henderson Design,https://www.youtube.com/@EmilyHenderson,200000,,,talking_head,en,US,Room makeovers and styling tips,2026-04-16,pending_verification
CH9905,N100,Studio McGee,https://www.youtube.com/channel/UCXvzpK4eKUJysEZ42zjTUdw,500000,,,talking_head,en,US,Interior design and home tours,2026-04-16,pending_verification
CH9906,N100,The Sorry Girls,https://www.youtube.com/@TheSorryGirls,3000000,,,talking_head,en,CA,DIY interior design projects,2026-04-16,pending_verification
CH9907,N100,XO MaCenna,https://www.youtube.com/@XOMaCenna,500000,,,talking_head,en,US,Licensed contractor interior design,2026-04-16,pending_verification
CH9908,N100,Kinwoven Home,https://www.youtube.com/@KinwovenHome,700000,,,talking_head,en,US,DIY furniture and thrift makeovers,2026-04-16,pending_verification
CH9909,N100,Farah Merhi,https://www.youtube.com/channel/UCo1hvFFb7nDBDVwI245GX_Q,200000,,,talking_head,en,US,Interior design and home decor,2026-04-16,pending_verification
CH9910,N100,House & Home,https://www.youtube.com/channel/UCq6H4g9eVY9WxoboCFd0iRA,300000,,,talking_head,en,CA,Canadian interior design magazine,2026-04-16,pending_verification
CH9911,N100,Sophie Robinson,https://www.youtube.com/channel/UCaQAR53p4rjeY_fOYEFkR4A,50000,,,talking_head,en,UK,Color and interior design expert,2026-04-16,pending_verification
CH9912,N100,The Design Network,https://www.youtube.com/channel/UCCAXmbrNQ0DkomtvgDiM2zw,50000,,,talking_head,en,US,Interior design shows network,2026-04-16,pending_verification
